actual_audience_size_number_of_participants_in_person,actual_audience_size_number_of_participants_online,airtable_id,end_date,event_name,event_type,event_unique_identifier,number_of_booked_participants,postcode_(from_venue),project_name,project_type,season,start_date,status,ticket_tailor_id,ward_(from_venue)
77.0,,1022,,Creation Station - Leeds City Council Creative Fair ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds City Council Creative Fair ,,['LS2 8BY'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-17,01 - Greenlit,,['Little London and Woodhouse']
26.0,,1339,2022-11-17,Leeds Cultural Heritage: St Oswald's C of E Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: St Oswald's C of E Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-17,01 - Greenlit,,
28.0,,771,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS21 1LG'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-18,01 - Greenlit,,['Adel and Wharfedale']
50.0,,770,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS12 5LA'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-18,01 - Greenlit,,['Farnley and Wortley']
30.0,,1051,,Ballot Facilitated Session - Pool in Wharfedale CE (VC) Primary School,['CLE - Community Engagement session'],01 - The Awakening: Ballot Facilitated Session - Pool in Wharfedale CE (VC) Primary School,,['LS21 1LG'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-18,01 - Greenlit,,['Adel and Wharfedale']
11.0,,1023,,Creation Station - Leeds Art Gallery (Meet and Make),['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds Art Gallery (Meet and Make),,['LS1 3AA'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-18,01 - Greenlit,,['Little London and Woodhouse']
56.0,,1336,2022-11-21,Leeds Cultural Heritage: Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-18,01 - Greenlit,,
85.0,,1011,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-19,01 - Greenlit,,['Little London and Woodhouse']
24.0,,1007,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-19,01 - Greenlit,,['Morley North']
67.0,,722,,Trinity Bridge ES4  - Ballot workshop,['CLE - Community Engagement session'],01 - The Awakening: Trinity Bridge ES4  - Ballot workshop,,['LS1 5AT'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-19,01 - Greenlit,,['Little London and Woodhouse']
66.0,,1012,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-20,01 - Greenlit,,['Little London and Woodhouse']
28.0,,773,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS21 1LG'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-21,01 - Greenlit,,['Adel and Wharfedale']
22.0,,1025,,Creation Station - Leeds Trinity University ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds Trinity University ,,['LS18 5HD'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-21,01 - Greenlit,,['Horsforth']
28.0,,806,2022-11-21,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,['LS28 6AB'],Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-21,01 - Greenlit,,['Bramley and Stanningley']
9.0,,1337,2022-11-22,Leeds Cultural Heritage: Springwell Leeds Academy ,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Springwell Leeds Academy ,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-21,01 - Greenlit,,
30.0,,1056,,Ballot Facilitated Session - Springwell Academy ,['CLE - Community Engagement session'],01 - The Awakening: Ballot Facilitated Session - Springwell Academy ,,['LS14 6XR'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-22,01 - Greenlit,,['Killingbeck and Seacroft']
30.0,,1057,,Ballot Facilitated Session - St Margarets Primary School,['CLE - Community Engagement session'],01 - The Awakening: Ballot Facilitated Session - St Margarets Primary School,,['LS18 5BL'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-22,01 - Greenlit,,['Horsforth']
42.0,,1027,,Creation Station - Leeds Trinity University ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds Trinity University ,,['LS18 5HD'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-22,01 - Greenlit,,['Horsforth']
145.0,,1338,2022-11-25,Leeds Cultural Heritage: St Margaret's Church of England Voluntary Controlled Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: St Margaret's Church of England Voluntary Controlled Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-22,01 - Greenlit,,
24.0,,1029,,Creation Station - Leeds City Council ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds City Council ,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-23,01 - Greenlit,,
44.0,,1028,,Creation Station - Leeds Trinity University ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds Trinity University ,,['LS18 5HD'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-23,01 - Greenlit,,['Horsforth']
50.0,,1032,,Creation Station - Left Bank ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Left Bank ,,['LS6 1LJ'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-23,01 - Greenlit,,['Headingley and Hyde Park']
50.0,,1033,,Creation Station - University of Leeds ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - University of Leeds ,,['LS2 9JT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-23,01 - Greenlit,,['Little London and Woodhouse']
24.0,,778,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS9 7QL'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-24,01 - Greenlit,,['Burmantofts and Richmond Hill']
28.0,,1031,,Creation Station - Leeds City Council ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds City Council ,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-24,01 - Greenlit,,
