id,q,r,colour,lad19nmw,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,las
Peterborough,11,9,#FF6700,,10,9,5,7,5,311766,220587,60075,420990,183270,Peterborough
West Berkshire,2,2,#67E767,,5,4,5,2,3,131660,55474,70906,23795,84745,West Berkshire
Reading,2,3,#67E767,,11,18,15,18,7,142009,324894,218940,266711,184481,Reading
Windsor and Maidenhead,4,3,#67E767,,2,5,3,3,1,29946,93643,41230,67432,22657,Windsor and Maidenhead
Wokingham,3,3,#67E767,,6,6,2,5,0,131648,86582,24100,69622,0,Wokingham
Lambeth,10,2,#D73058,,96,105,54,79,21,1580535,1942063,2026783,3059758,1633234,Lambeth
Milton Keynes,6,5,#67E767,,9,11,5,10,4,217029,338703,112966,290264,112432,Milton Keynes
Brighton and Hove,9,-2,#67E767,,113,126,85,110,34,2092508,2689669,1518333,2669149,997209,Brighton and Hove
Bromley,11,0,#D73058,,24,24,11,21,7,379037,379567,136911,350621,106389,Bromley
Portsmouth,4,-1,#67E767,,10,9,6,13,6,129179,90721,162786,427341,172183,Portsmouth
Southampton,2,0,#67E767,,10,12,3,11,5,325886,474047,62287,658178,173912,Southampton
Isle of Wight,1,-2,#67E767,,8,14,4,12,5,96071,442569,47562,315783,170729,Isle of Wight
County Durham,6,18,#D60303,,22,21,11,15,6,359968,365595,148903,306605,177029,County Durham
Cheshire East,4,11,#1DD3A7,,10,13,11,12,0,180888,258772,161381,267309,0,Cheshire East
Cheshire West and Chester,3,11,#1DD3A7,,7,12,6,10,0,95294,158103,67892,519668,0,Cheshire West and Chester
Shropshire,1,9,#E6007C,,21,18,16,17,6,334116,264286,305426,608406,112341,Shropshire
Cornwall,-5,-2,#178CFF,,57,73,43,62,12,1165837,2303253,970699,1426917,362189,Cornwall
Isles of Scilly,-7,-3,#178CFF,,1,0,0,1,0,13000,0,0,90000,0,Isles of Scilly
Wiltshire,1,2,#178CFF,,23,27,12,24,3,378334,407419,215278,509703,113424,Wiltshire
Camden,11,4,#D73058,,78,78,40,73,22,1207174,1280453,971327,1976320,1924097,Camden
Bedford,9,7,#FF6700,,11,15,7,7,3,111589,233088,79961,153179,73787,Bedford
Central Bedfordshire,9,6,#FF6700,,7,13,4,8,3,229387,275638,85883,171226,61076,Central Bedfordshire
Northumberland,5,20,#D60303,,20,22,13,22,6,428753,478216,333135,672560,125992,Northumberland
"Bournemouth, Christchurch and Poole",0,0,#178CFF,,14,15,6,7,5,260218,254506,70166,136523,92526,"Bournemouth, Christchurch and Poole"
Dorset,-1,0,#178CFF,,15,25,12,17,2,270346,1208253,151608,335258,25450,Dorset
Buckinghamshire,5,5,#67E767,,12,10,10,18,2,233299,110536,125014,730366,44636,Buckinghamshire
Croydon,10,0,#D73058,,24,31,15,33,17,519496,565728,400050,816318,382829,Croydon
Cambridge,12,8,#FF6700,,32,35,10,18,7,591630,470239,168423,447999,257203,Cambridge
East Cambridgeshire,12,9,#FF6700,,1,5,1,6,1,40000,182867,15000,125634,30970,East Cambridgeshire
Basildon,14,5,#FF6700,,1,2,2,1,0,8750,24532,22571,250000,0,Basildon
Fenland,13,10,#FF6700,,1,2,1,3,1,7000,22200,6000,62016,29000,Fenland
Bolsover,10,12,#00B6FF,,4,2,2,4,1,82725,33398,29982,74160,30994,Bolsover
Huntingdonshire,10,8,#FF6700,,5,3,3,4,3,63393,42107,39550,53484,54690,Huntingdonshire
Ealing,9,4,#D73058,,15,15,9,16,3,168186,226731,109471,256409,49000,Ealing
South Cambridgeshire,11,8,#FF6700,,4,9,3,14,1,44588,194410,32783,300898,55728,South Cambridgeshire
Allerdale,4,18,#1DD3A7,,11,6,5,4,1,122921,81456,111541,52953,29988,Allerdale
Barrow-in-Furness,2,17,#1DD3A7,,0,5,4,7,2,0,197136,57150,156680,125600,Barrow-in-Furness
Carlisle,4,19,#1DD3A7,,7,3,2,5,0,98177,30981,17634,575145,0,Carlisle
Copeland,3,18,#1DD3A7,,2,5,2,7,1,28679,92531,29440,112623,4949,Copeland
Chesterfield,9,12,#00B6FF,,1,3,5,5,3,7769,24670,96940,78815,74205,Chesterfield
Derbyshire Dales,7,12,#00B6FF,,8,9,2,9,3,168933,115579,40673,316623,67835,Derbyshire Dales
Eden,5,18,#1DD3A7,,4,4,2,8,1,74132,58848,21870,242343,20000,Eden
South Lakeland,4,17,#1DD3A7,,11,16,6,12,7,302790,280709,81820,361432,250221,South Lakeland
Amber Valley,7,11,#00B6FF,,6,5,5,3,3,97371,127286,74171,206532,124866,Amber Valley
Erewash,7,9,#00B6FF,,0,2,1,3,0,0,29936,14565,94771,0,Erewash
High Peak,7,13,#00B6FF,,7,7,3,6,3,194679,224826,100201,148610,53175,High Peak
Exeter,-3,-1,#178CFF,,22,36,13,32,7,394189,672550,281513,1001439,240631,Exeter
Mid Devon,-2,0,#178CFF,,6,2,3,3,3,81813,21614,31950,92652,47388,Mid Devon
North Devon,-3,1,#178CFF,,4,2,4,6,6,57000,20190,47319,395342,143947,North Devon
South Hams,-4,-3,#178CFF,,11,9,2,4,0,133082,125887,29975,49674,0,South Hams
North East Derbyshire,8,12,#00B6FF,,1,3,1,2,1,4480,33650,14524,26662,13500,North East Derbyshire
Eastbourne,10,-2,#67E767,,7,4,6,11,4,82573,51619,171453,181472,190677,Eastbourne
South Derbyshire,6,10,#00B6FF,,2,0,3,2,1,29686,0,43403,32997,12000,South Derbyshire
Hastings,13,-2,#67E767,,24,38,15,33,7,445124,746101,291690,1271702,247932,Hastings
East Devon,-2,-1,#178CFF,,9,6,6,10,4,107678,102707,133690,164296,97090,East Devon
Teignbridge,-2,-2,#178CFF,,15,9,4,10,3,144856,125589,46365,235734,114938,Teignbridge
Torridge,-4,-1,#178CFF,,2,2,1,0,1,29600,56686,14985,0,29947,Torridge
West Devon,-3,0,#178CFF,,4,3,1,2,2,37142,124790,9500,27085,33011,West Devon
Lewes,10,-1,#67E767,,20,20,12,17,5,414207,393981,202422,282577,134279,Lewes
Enfield,11,5,#D73058,,14,26,11,20,4,255282,513240,167002,537809,81082,Enfield
Rother,12,-2,#67E767,,3,3,1,10,5,37333,40529,12400,208763,101244,Rother
Wealden,11,-2,#67E767,,7,8,9,7,2,229533,198611,108819,198710,39466,Wealden
Greenwich,11,1,#D73058,,24,29,16,28,7,1693232,516864,282240,527652,517919,Greenwich
Braintree,14,7,#FF6700,,4,5,3,8,3,48639,33600,26860,70267,18700,Braintree
Hackney,12,3,#D73058,,145,161,82,118,36,2235783,2410263,1334161,3179856,1140162,Hackney
Castle Point,15,5,#FF6700,,2,2,0,0,0,29400,29850,0,0,0,Castle Point
Chelmsford,14,6,#FF6700,,5,6,6,4,5,90322,115174,105119,60774,108162,Chelmsford
Colchester,15,8,#FF6700,,18,20,17,17,8,370879,417116,322687,428194,258863,Colchester
Epping Forest,12,5,#FF6700,,2,5,2,1,0,23355,69564,23650,100000,0,Epping Forest
Harlow,13,6,#FF6700,,2,3,1,4,4,63871,69745,15000,64081,183965,Harlow
Maldon,15,7,#FF6700,,3,1,0,1,0,97004,49897,0,29219,0,Maldon
Fareham,2,-1,#67E767,,3,3,3,2,0,29024,28699,39364,23874,0,Fareham
Rochford,15,6,#FF6700,,1,2,1,4,0,14900,20175,14526,73900,0,Rochford
Tendring,16,8,#FF6700,,2,5,6,5,2,27404,99617,84978,112181,52453,Tendring
Uttlesford,13,7,#FF6700,,3,1,2,6,1,67818,9462,29500,96301,12479,Uttlesford
Cheltenham,1,5,#178CFF,,11,7,6,3,0,123624,203477,104868,36506,0,Cheltenham
Cotswold,2,5,#178CFF,,0,4,3,4,4,0,56264,79797,59558,90527,Cotswold
Hammersmith and Fulham,8,3,#D73058,,24,20,11,25,8,356241,295718,159743,442786,142499,Hammersmith and Fulham
Forest of Dean,-1,6,#178CFF,,3,4,2,4,0,50824,37967,58490,56739,0,Forest of Dean
Gloucester,0,6,#178CFF,,5,6,4,9,1,88695,240531,202327,357362,29500,Gloucester
Stroud,0,5,#178CFF,,9,16,11,11,4,90013,259080,152668,330242,167330,Stroud
Gosport,3,-1,#67E767,,2,5,2,1,2,101030,66794,17135,14995,39056,Gosport
Tewkesbury,1,6,#178CFF,,0,5,5,1,0,0,79053,51318,14800,0,Tewkesbury
Haringey,12,4,#D73058,,78,84,47,66,19,1003273,1145571,748036,1509891,474514,Haringey
Basingstoke and Deane,2,1,#67E767,,6,7,2,5,2,91705,103060,29717,178111,57451,Basingstoke and Deane
Hart,3,2,#67E767,,0,1,1,0,0,0,6000,75820,0,0,Hart
East Hampshire,4,0,#67E767,,5,2,7,4,1,83050,28361,62679,40162,29620,East Hampshire
Eastleigh,3,0,#67E767,,4,5,2,7,1,61168,101635,60439,191560,44895,Eastleigh
Havant,5,0,#67E767,,0,3,0,2,0,0,60620,0,26948,0,Havant
New Forest,1,0,#67E767,,8,10,6,4,1,196036,132510,196405,90558,16905,New Forest
Rushmoor,4,1,#67E767,,4,1,2,1,1,49975,14997,29055,28900,29988,Rushmoor
Watford,8,5,#FF6700,,8,4,4,5,1,160398,168372,63310,65661,17000,Watford
Test Valley,1,1,#67E767,,3,3,7,5,0,99658,94327,72742,68412,0,Test Valley
Harrow,8,4,#D73058,,6,7,7,10,4,47615,253686,92120,220717,208257,Harrow
Winchester,3,1,#67E767,,9,7,3,9,2,111220,107512,54233,385855,59979,Winchester
Broxbourne,12,6,#FF6700,,1,1,0,2,0,25363,7000,0,29900,0,Broxbourne
Dacorum,8,6,#FF6700,,6,10,7,5,0,98841,178007,101817,96737,0,Dacorum
Hertsmere,9,5,#FF6700,,0,1,4,4,3,0,9000,30895,59395,89117,Hertsmere
Burnley,6,15,#1DD3A7,,3,3,0,1,0,43777,44196,0,14990,0,Burnley
North Hertfordshire,11,7,#FF6700,,2,5,7,6,3,16783,60919,83477,249434,72640,North Hertfordshire
Three Rivers,7,5,#FF6700,,4,3,2,5,1,44121,40420,22894,105890,14513,Three Rivers
Ashford,12,-1,#67E767,,12,6,1,9,1,219874,156449,15000,447373,6205,Ashford
Pendle,6,16,#1DD3A7,,1,2,1,1,1,4820,23900,13115,36464,19950,Pendle
Canterbury,15,0,#67E767,,20,18,4,18,7,340985,538687,50480,251439,135070,Canterbury
Dartford,13,1,#67E767,,0,2,3,4,0,0,29160,40433,83090,0,Dartford
Dover,14,-1,#67E767,,7,4,3,5,2,88749,106023,40295,101978,59995,Dover
Gravesham,14,1,#67E767,,1,3,0,2,2,5211,38316,0,29500,44250,Gravesham
Maidstone,14,0,#67E767,,7,9,4,4,2,186166,149978,43768,61960,114289,Maidstone
Preston,5,16,#1DD3A7,,9,17,6,9,0,168183,376209,67487,328924,0,Preston
Sevenoaks,12,0,#67E767,,4,4,1,4,2,89179,57488,14337,85940,22210,Sevenoaks
Welwyn Hatfield,11,6,#FF6700,,2,6,2,3,2,21556,114172,64808,246652,22140,Welwyn Hatfield
Folkestone and Hythe,13,-1,#67E767,,18,21,11,22,3,817987,440317,233224,474757,72548,Folkestone and Hythe
Swale,16,0,#67E767,,8,3,4,6,3,170824,38368,59606,121428,77653,Swale
Thanet,15,-1,#67E767,,38,40,17,43,12,775900,687072,250074,917559,276787,Thanet
Tonbridge and Malling,13,0,#67E767,,2,1,2,5,2,29924,15000,19180,105672,42782,Tonbridge and Malling
Rochdale,7,14,#1DD3A7,,7,9,4,10,3,64957,115797,158303,220113,88082,Rochdale
Tunbridge Wells,11,-1,#67E767,,6,10,1,4,1,107150,657009,15000,72205,17234,Tunbridge Wells
Chorley,3,14,#1DD3A7,,4,4,2,5,0,65653,56828,29731,59784,0,Chorley
South Ribble,3,15,#1DD3A7,,1,1,2,2,0,17060,15000,18994,19110,0,South Ribble
Fylde,4,16,#1DD3A7,,3,2,1,4,0,43653,29140,7515,81600,0,Fylde
Hyndburn,5,15,#1DD3A7,,1,1,2,1,0,8284,15000,25734,15000,0,Hyndburn
Lancaster,3,17,#1DD3A7,,23,16,9,18,7,475739,339862,128029,386630,280046,Lancaster
Salford,4,13,#1DD3A7,,22,22,14,33,8,401921,541736,249077,931020,430589,Salford
Ribble Valley,5,17,#1DD3A7,,2,5,1,3,1,36510,60835,14660,36780,18975,Ribble Valley
Rossendale,6,14,#1DD3A7,,5,2,2,3,0,51789,18879,22803,89100,0,Rossendale
West Lancashire,2,13,#1DD3A7,,3,1,1,2,1,33026,14500,15000,34876,27500,West Lancashire
Lewisham,10,1,#D73058,,73,107,59,88,13,1158825,2716916,972945,2095546,371997,Lewisham
Wyre,3,16,#1DD3A7,,4,3,2,6,0,32179,80485,28080,145699,0,Wyre
Blaby,7,7,#00B6FF,,1,2,2,1,3,6000,39000,23804,14785,49941,Blaby
Charnwood,8,9,#00B6FF,,4,6,9,10,1,49806,98861,131709,188264,100000,Charnwood
Harborough,8,7,#00B6FF,,1,4,2,4,0,14800,70567,29759,81359,0,Harborough
Hinckley and Bosworth,7,8,#00B6FF,,1,1,1,2,0,14049,14889,14387,114986,0,Hinckley and Bosworth
North West Leicestershire,6,9,#00B6FF,,8,5,4,4,2,208966,118934,96649,49359,51914,North West Leicestershire
Melton,11,10,#00B6FF,,0,1,0,1,1,0,14565,0,14775,26200,Melton
Oadby and Wigston,9,8,#00B6FF,,2,1,0,2,1,29977,15000,0,113055,30000,Oadby and Wigston
Merton,8,1,#D73058,,16,19,11,13,7,166841,405143,125041,220954,100064,Merton
Boston,12,12,#00B6FF,,0,1,1,1,2,0,15000,3500,14776,48924,Boston
East Lindsey,12,13,#00B6FF,,2,1,0,4,0,15947,13850,0,72264,0,East Lindsey
Lincoln,11,12,#00B6FF,,20,9,6,8,2,315782,331889,85341,128912,58146,Lincoln
St. Helens,3,12,#1DD3A7,,2,4,4,0,0,28848,118651,122480,0,0,St. Helens
North Kesteven,11,11,#00B6FF,,9,7,4,5,2,169067,477168,129409,150977,39586,North Kesteven
North Northamptonshire,9,9,#00B6FF,,0,0,0,6,2,0,0,0,142635,129500,North Northamptonshire
South Holland,12,11,#00B6FF,,0,2,2,1,2,0,11999,28380,9561,37346,South Holland
Ashfield,8,11,#00B6FF,,2,3,2,2,1,16509,116984,30491,27259,30398,Ashfield
South Kesteven,12,10,#00B6FF,,0,2,2,1,3,0,29074,29500,14990,118953,South Kesteven
Gedling,9,10,#00B6FF,,10,11,2,4,1,112483,138056,45315,93972,17650,Gedling
West Lindsey,11,13,#00B6FF,,2,3,2,2,1,23694,124736,31498,31898,25994,West Lindsey
Breckland,14,10,#FF6700,,2,5,2,3,1,29972,89579,17070,45420,17895,Breckland
Broadland,15,12,#FF6700,,5,3,4,3,0,49600,36546,54855,42210,0,Broadland
Great Yarmouth,15,11,#FF6700,,7,6,2,3,2,79982,111591,29800,33480,33850,Great Yarmouth
King's Lynn and West Norfolk,13,11,#FF6700,,5,4,0,1,0,95591,103959,0,15500,0,King's Lynn and West Norfolk
North Norfolk,14,12,#FF6700,,2,5,4,8,2,21557,92984,49406,115504,19353,North Norfolk
Norwich,14,11,#FF6700,,38,61,29,38,10,562415,1638124,509745,1155792,283166,Norwich
South Norfolk,15,10,#FF6700,,7,9,8,7,3,153529,292893,122580,106694,132225,South Norfolk
West Northamptonshire,7,6,#00B6FF,,0,0,0,12,6,0,0,0,283843,207399,West Northamptonshire
Mansfield,9,11,#00B6FF,,1,1,1,1,1,14457,59270,14644,52928,40910,Mansfield
Craven,6,17,#F9BC26,,3,7,4,5,2,173290,234042,45243,163808,121740,Craven
Hambleton,10,18,#F9BC26,,4,5,1,2,3,96610,127307,14860,40248,56310,Hambleton
Oxford,4,4,#67E767,,34,36,25,33,5,570961,786167,398273,792274,127479,Oxford
Harrogate,8,17,#F9BC26,,7,8,3,7,1,162233,146370,44348,149689,16327,Harrogate
Richmondshire,7,17,#F9BC26,,1,2,2,1,0,38290,42369,20632,43614,0,Richmondshire
Cannock Chase,3,9,#E6007C,,0,0,0,0,0,0,0,0,0,0,
Ryedale,10,16,#F9BC26,,5,3,3,6,1,62924,143941,26795,153925,20468,Ryedale
Scarborough,10,17,#F9BC26,,6,8,3,8,0,109380,165263,35068,274558,0,Scarborough
Selby,9,16,#F9BC26,,1,1,1,4,3,69984,14537,14910,69277,82302,Selby
Bassetlaw,10,13,#00B6FF,,1,3,2,2,0,10000,121050,21938,253976,0,Bassetlaw
Broxtowe,7,10,#00B6FF,,6,14,4,6,3,69912,235257,164007,284463,81187,Broxtowe
Newark and Sherwood,10,11,#00B6FF,,3,1,2,3,1,180000,15000,29895,48974,22024,Newark and Sherwood
Ipswich,15,9,#FF6700,,15,17,7,16,2,301408,375787,105596,563922,61299,Ipswich
Rushcliffe,10,10,#00B6FF,,8,13,5,6,5,89908,301479,71755,156164,130784,Rushcliffe
Elmbridge,7,2,#67E767,,9,7,4,5,0,88658,162363,100960,65074,0,Elmbridge
Epsom and Ewell,8,0,#67E767,,9,7,6,6,0,140599,111865,89980,133371,0,Epsom and Ewell
Cherwell,4,5,#67E767,,6,6,4,9,3,149972,69274,48050,241541,66500,Cherwell
South Oxfordshire,5,4,#67E767,,5,8,2,6,2,71128,140839,27985,73459,38000,South Oxfordshire
Vale of White Horse,3,4,#67E767,,2,2,1,4,3,24003,23236,9244,87158,51566,Vale of White Horse
Runnymede,5,3,#67E767,,0,2,0,0,1,0,54569,0,0,26694,Runnymede
West Oxfordshire,3,5,#67E767,,7,4,4,7,2,128846,123817,35739,139901,78249,West Oxfordshire
Spelthorne,6,3,#67E767,,3,0,1,1,2,27879,0,14980,49930,18263,Spelthorne
Mendip,0,1,#178CFF,,18,17,7,20,1,246259,303961,88448,308477,19956,Mendip
Sedgemoor,-1,2,#178CFF,,3,2,2,3,2,59568,48023,21385,68441,45797,Sedgemoor
South Somerset,-1,1,#178CFF,,5,8,5,6,3,86190,198517,136248,184016,91352,South Somerset
East Staffordshire,5,11,#E6007C,,1,1,0,0,0,15000,15000,0,0,0,East Staffordshire
Lichfield,4,9,#E6007C,,1,6,4,2,1,13671,138119,49561,22274,14855,Lichfield
Surrey Heath,5,2,#67E767,,0,1,2,2,0,0,10137,29670,31300,0,Surrey Heath
Newham,13,2,#D73058,,24,36,25,23,15,329728,552847,405910,564878,430378,Newham
Newcastle-under-Lyme,2,10,#E6007C,,3,9,2,5,0,105047,192744,61767,154218,0,Newcastle-under-Lyme
Tandridge,9,-1,#67E767,,5,7,3,4,0,153378,144659,36138,80513,0,Tandridge
South Staffordshire,2,8,#E6007C,,1,2,0,2,0,28760,41259,0,28500,0,South Staffordshire
Havering,14,3,#D73058,,8,10,5,7,0,115111,153837,59869,87701,0,Havering
Stafford,4,10,#E6007C,,1,4,1,3,0,14900,67373,14960,129495,0,Stafford
Redbridge,14,4,#D73058,,13,13,7,13,3,161741,255386,161399,228983,60079,Redbridge
Staffordshire Moorlands,5,10,#E6007C,,1,1,2,0,0,6000,13080,27612,0,0,Staffordshire Moorlands
Tamworth,5,9,#E6007C,,1,2,0,1,1,15000,41200,0,38500,29300,Tamworth
Babergh,14,8,#FF6700,,0,2,2,2,0,0,28326,18102,22369,0,Babergh
Mid Suffolk,14,9,#FF6700,,3,5,6,5,1,42653,61085,139240,214485,24550,Mid Suffolk
Wandsworth,9,2,#D73058,,33,31,17,19,7,425423,593946,697665,358970,185977,Wandsworth
Guildford,5,1,#67E767,,7,9,2,4,2,94819,122395,29922,74474,50104,Guildford
Manchester,5,12,#1DD3A7,,141,142,86,112,39,2670139,3327274,1658246,3121424,1152709,Manchester
Mole Valley,6,1,#67E767,,2,1,0,1,1,53000,11533,0,15000,29712,Mole Valley
Reigate and Banstead,7,0,#67E767,,3,2,0,4,0,38727,28387,0,42212,0,Reigate and Banstead
Westminster,10,3,#D73058,,56,59,28,54,13,3099895,1641445,2530154,4062448,771122,Westminster
Waverley,6,0,#67E767,,12,10,9,10,2,255316,192107,196340,207831,57920,Waverley
Woking,6,2,#67E767,,4,4,3,1,0,49204,51330,42593,13049,0,Woking
Ards and North Down,-3,16,#722EA5,,0,0,0,0,0,0,0,0,0,0,
North Warwickshire,6,8,#E6007C,,0,1,1,0,0,0,14850,14956,0,0,North Warwickshire
Nuneaton and Bedworth,6,7,#E6007C,,3,4,2,1,0,78935,93095,25870,23325,0,Nuneaton and Bedworth
Oldham,5,13,#1DD3A7,,11,7,1,6,1,414550,95744,14573,110581,22086,Oldham
Rugby,6,6,#E6007C,,3,3,2,1,2,37196,35113,59749,20110,24659,Rugby
Stratford-on-Avon,3,6,#E6007C,,11,4,3,4,5,458514,93249,43884,106860,1403858,Stratford-on-Avon
Bromsgrove,2,7,#E6007C,,2,3,0,1,1,16870,34992,0,11360,29950,Bromsgrove
Warwick,4,6,#E6007C,,16,19,16,14,1,416971,375403,224761,503642,30000,Warwick
Adur,8,-2,#67E767,,8,4,8,6,1,102671,85623,92545,109438,29993,Adur
Malvern Hills,-1,7,#E6007C,,3,6,2,3,1,81928,76739,22032,89680,30000,Malvern Hills
Arun,6,-2,#67E767,,0,3,1,2,2,0,38647,13685,54230,37250,Arun
Chichester,5,-1,#67E767,,11,16,7,9,4,157878,205263,103364,184284,74619,Chichester
Crawley,8,-1,#67E767,,8,7,6,8,3,162700,102478,74415,175255,89946,Crawley
Horsham,6,-1,#67E767,,5,8,1,4,0,60019,96167,16519,50281,0,Horsham
Mid Sussex,7,-1,#67E767,,4,7,5,5,2,132458,84431,87375,88062,49665,Mid Sussex
Worthing,7,-2,#67E767,,10,12,5,7,2,131685,180566,73559,144893,55230,Worthing
Redditch,4,7,#E6007C,,1,2,0,1,1,14845,30943,0,48468,45423,Redditch
Wychavon,2,6,#E6007C,,1,5,1,2,0,5000,96723,33324,21720,0,Wychavon
Wyre Forest,1,8,#E6007C,,2,0,0,2,1,28817,0,0,23244,35750,Wyre Forest
St Albans,10,6,#FF6700,,4,11,8,10,7,48400,180339,102511,183501,303406,St Albans
East Hertfordshire,13,8,#FF6700,,3,3,4,4,2,37656,71223,165524,134980,60000,East Hertfordshire
Stevenage,12,7,#FF6700,,1,6,1,2,1,13000,108535,10040,25555,28795,Stevenage
East Suffolk,16,10,#FF6700,,13,23,20,23,9,263837,557119,254947,507768,198030,East Suffolk
West Suffolk,13,9,#FF6700,,10,7,6,7,2,145779,197665,107311,116580,9829,West Suffolk
Somerset West and Taunton,-2,1,#178CFF,,20,10,10,12,4,322573,195034,236669,252998,149825,Somerset West and Taunton
North Tyneside,6,20,#D60303,,15,13,10,12,5,191147,217157,128074,242102,129440,North Tyneside
Bolton,4,14,#1DD3A7,,5,7,3,5,4,47534,95847,36656,140152,87989,Bolton
Bury,5,14,#1DD3A7,,10,14,7,9,5,135858,192053,113525,205265,138806,Bury
South Tyneside,7,20,#D60303,,4,7,5,4,3,53488,275775,68595,76761,47299,South Tyneside
Stockport,6,12,#1DD3A7,,8,15,6,13,3,158354,302421,84764,170871,88666,Stockport
Tameside,6,13,#1DD3A7,,8,10,8,7,4,127490,121068,107512,147770,101964,Tameside
Trafford,4,12,#1DD3A7,,22,32,16,16,8,311593,617140,320642,347637,277813,Trafford
Wigan,3,13,#1DD3A7,,5,3,5,3,9,54786,858964,149157,76057,170481,Wigan
Knowsley,2,12,#1DD3A7,,5,5,1,2,2,162569,140789,49957,273701,115385,Knowsley
Liverpool,1,13,#1DD3A7,,56,57,39,53,18,950728,952698,568349,1224184,503612,Liverpool
Sefton,2,14,#1DD3A7,,7,9,6,6,3,70854,206192,94205,122230,97969,Sefton
Wirral,1,12,#1DD3A7,,8,9,9,6,4,203029,148771,116208,107661,114107,Wirral
Barnsley,8,14,#F9BC26,,8,9,3,14,3,596677,173674,79867,598386,79369,Barnsley
