hash,ward_code,local_authority_code,status,current,created,applied,offered,confirmed,rejected
88ef02ff8f6cecc2fd0a,E05011547,E08000035,confirmed,True,2022-08-08,2022-09-27,2022-10-15,2022-11-05,
8a862341dbf9ba882c0e,E05011390,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-08,2022-09-09,,,
8b3d9554e683e928ff60,UNKNOWN,UNKNOWN,,False,2022-08-08,2022-09-26,,,
8e2a74e11bec671d4f1d,E05011388,E08000035,confirmed,True,2022-08-08,2022-12-20,2023-01-10,2023-07-03,
a1f6bcc730c952e392e6,E05011410,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
b6e259a18c4a68c1a6d1,UNKNOWN,UNKNOWN,,False,2022-08-08,2022-09-26,,,
b6e79acb9f2a72a0ba99,E05011390,E08000035,confirmed,True,2022-08-08,2022-09-09,2023-03-20,2023-04-25,
c0114bb98cb4ccc9200d,E05011397,E08000035,confirmed,True,2022-08-08,2022-09-27,2022-11-26,2022-12-17,
d48bd097f6a8d5ec0f9f,E05011402,E08000035,confirmed,True,2022-08-08,2022-09-29,2022-11-26,2022-12-17,
d93fb20f6579275ced8d,E05011411,E08000035,confirmed,True,2022-08-08,2022-10-03,2022-11-26,2022-12-17,
db438f3848b3464f80ba,E05011410,E08000035,confirmed,True,2022-08-08,2022-09-27,2022-10-15,2023-02-06,
251792219cc06c874d6f,E05011403,E08000035,confirmed,True,2022-08-09,2022-09-16,2022-11-26,2022-12-17,
2724f654b6f5a2eca09e,E05011401,E08000035,confirmed,True,2022-08-09,2022-09-09,2022-11-26,2022-12-17,
2e94e547fad17b1b8d15,E05011406,E08000035,confirmed,True,2022-08-09,2022-09-27,2022-10-15,2022-11-05,
30f70e5db1ac615ed4d7,E05011399,E08000035,confirmed,True,2022-08-09,2022-09-16,2022-11-26,2022-12-17,
4417e696f5dc7c4f68d8,E05011403,E08000035,confirmed,True,2022-08-09,2022-09-27,2022-10-15,2022-11-05,
5771248a341059b5359d,E05011402,E08000035,confirmed,True,2022-08-09,2022-10-03,2022-10-15,2022-11-05,
66c3e46ac7cf3f8c7121,UNKNOWN,UNKNOWN,,False,2022-08-09,,,,
7551f1cdaa4212aab331,E05011547,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-09,2022-09-16,2022-11-26,,
81f0f2c7302188435605,UNKNOWN,UNKNOWN,,False,2022-08-09,,,,
826101bbc3e146f7cf02,E05011413,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-09,2022-09-09,,,
8cb643b0b8f22b47b634,UNKNOWN,UNKNOWN,,False,2022-08-09,,,,
a4213e354fb972bf373c,E05011405,E08000035,confirmed,True,2022-08-09,2022-09-27,2022-10-15,2022-11-05,
a70675e3af367394f2d5,E05011403,E08000035,confirmed,True,2022-08-09,2022-09-09,2022-11-26,2022-12-17,
b428cf251cf5183c5e81,UNKNOWN,UNKNOWN,,False,2022-08-09,2022-09-09,,,
bd9a0066c27d6f32eb59,E05011403,E08000035,confirmed,True,2022-08-09,2022-09-21,2022-11-26,2022-12-17,
e7ad5ffdccb35931ba0d,E05011397,E08000035,confirmed,True,2022-08-09,2023-01-11,2023-06-17,2023-07-03,2023-06-10
f5d34a04ff2d55a7d95a,UNKNOWN,UNKNOWN,,False,2022-08-09,,,,
f68518a99e346668cd16,UNKNOWN,UNKNOWN,,False,2022-08-09,,,,
fe53cdc1d17a84a00b28,E05011363,E08000003,Deactivated before training,True,2022-08-09,2022-10-26,,,
00ab693b85f79d8abfea,E05011413,E08000035,confirmed,True,2022-08-10,2022-09-21,2022-11-26,2022-12-17,
5a78ebd1b2c64d253c3e,UNKNOWN,UNKNOWN,,False,2022-08-10,2022-09-09,2022-11-26,,
64f76821116833ed3a11,UNKNOWN,UNKNOWN,,False,2022-08-10,2022-09-09,,,
66e32c849bec330d9592,UNKNOWN,UNKNOWN,,False,2022-08-10,,,,
d13731fefa6baa63d282,UNKNOWN,UNKNOWN,,False,2022-08-10,,,,
f3bb6b610bec64aa3a50,UNKNOWN,UNKNOWN,,False,2022-08-10,2022-09-09,2022-11-26,2022-12-17,
16bf8ab30cdea9f7b14f,E05011405,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-11,2022-09-14,,,
35f0e93ab3ec1e3f3cde,E05001353,E08000032,confirmed,True,2022-08-11,2022-09-29,2022-10-15,2022-12-17,
40634402594c8289c480,UNKNOWN,UNKNOWN,,False,2022-08-11,2022-09-09,,,
46b137e46e5ed68c4322,E05011402,E08000035,confirmed,True,2022-08-11,2022-09-16,2022-11-26,2023-02-06,
60bd48ffeab747b9a4b5,E05011411,E08000035,confirmed,True,2022-08-11,2022-09-09,2023-01-16,2023-02-06,
6c8986e9166e059e7789,E05011396,E08000035,confirmed,True,2022-08-11,2022-09-16,2022-11-26,2022-12-17,
7884d7cf7b7f07427916,E05011411,E08000035,confirmed,True,2022-08-11,2022-10-03,2023-01-12,2023-04-25,
8263cb9156e923f81afa,E05011399,E08000035,confirmed,True,2022-08-11,2022-09-21,2023-01-12,2023-02-06,
8a34b58111dfd214393a,E05011403,E08000035,confirmed,True,2022-08-11,2022-09-09,2022-11-26,2022-12-17,
8a7dea13ecbb24e9f2a2,E05011413,E08000035,confirmed,True,2022-08-11,2022-09-16,2022-11-26,2022-12-17,
8b8a8b639860f15cb79e,UNKNOWN,UNKNOWN,,False,2022-08-11,,,,
a30e38af1323a6bb6b40,E05011390,E08000035,confirmed,True,2022-08-11,2022-09-09,2022-11-26,2022-12-17,
af6f1ef0553c442efdb2,E05011409,E08000035,confirmed,True,2022-08-11,2022-09-09,2022-11-26,2022-12-17,
baf8f1186d590974949e,E05011549,E08000035,confirmed,True,2022-08-11,2022-09-09,2022-11-26,2022-12-17,
c52417c5848e7505b2b4,UNKNOWN,UNKNOWN,,False,2022-08-11,,,,
ca830a030cce038b979b,E05011407,E08000035,confirmed,True,2022-08-11,2022-09-27,2022-10-15,2022-11-05,
d5e8e399dd3b08001073,E05012841,E08000035,confirmed,True,2022-08-11,2022-09-27,2022-10-15,2022-11-05,
f0594d09c34c26c6c401,E05011402,E08000035,confirmed,True,2022-08-11,2022-09-09,2022-11-26,2022-12-17,
2c1444e90c1e15ec6419,E05011402,E08000035,confirmed,True,2022-08-12,2022-09-09,2022-11-26,2022-12-17,
314e6dfd4904b4fbe52d,E05013831,E08000035,confirmed,True,2022-08-12,2022-09-10,2022-11-26,2022-12-17,
4f8e515485438d1adc89,UNKNOWN,UNKNOWN,,False,2022-08-12,2022-09-09,2022-11-26,,
692ff43e5115ced38954,UNKNOWN,UNKNOWN,,False,2022-08-12,,,,
70334365ccdce37459ef,E05011405,E08000035,confirmed,True,2022-08-12,2022-09-16,2022-11-26,2022-12-17,
92461b2cbbdc8a462871,UNKNOWN,UNKNOWN,,False,2022-08-12,,,,
94be42dc87741df481b1,E05013244,E06000062,FROZEN ACCOUNTS CP4,True,2022-08-12,2022-09-16,2022-11-26,,
9a454df015d600a68503,E05011403,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-12,2022-09-09,,,
adce1e8d45db7fa69c60,E05011387,E08000035,confirmed,True,2022-08-12,2022-09-27,2022-10-15,2022-11-05,
b0c6d6383e0814b7fa4f,UNKNOWN,UNKNOWN,,False,2022-08-12,,,,
e7ccb4a2f2f0c058753a,E05011390,E08000035,confirmed,True,2022-08-12,2022-09-09,2022-12-07,2022-12-17,
ec4243e74e6ebe3c0ff0,E05011402,E08000035,confirmed,True,2022-08-12,2022-09-09,2022-11-26,2022-12-17,
f92d7693126d5477c45c,E05011396,E08000035,confirmed,True,2022-08-12,2022-09-16,2022-11-26,2022-12-17,
631303c6db08ed182349,UNKNOWN,UNKNOWN,,False,2022-08-13,,,,
8e05a5817017e9497f1a,E05011384,E08000035,confirmed,True,2022-08-13,2022-09-27,2022-10-15,2023-02-06,
98912843e07ed375ed86,UNKNOWN,UNKNOWN,,False,2022-08-13,,,,
aaef7c17d49444e1b3d4,UNKNOWN,UNKNOWN,,False,2022-08-13,,,,
cda74ff6cb75de0c52b1,E05011401,E08000035,confirmed,True,2022-08-13,2022-09-09,2022-11-26,2022-12-17,
d33934ffb8762a3dfc0c,E05011407,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-13,2022-09-09,,,
02b3b79a2b97d2075e6e,UNKNOWN,UNKNOWN,,False,2022-08-14,,,,
43974f8084728bda97b1,E05013592,E09000014,FROZEN ACCOUNTS CP3,True,2022-08-14,2022-10-03,,,
4b1a06fa7909e6c2de25,UNKNOWN,UNKNOWN,,False,2022-08-14,,,,
4cdfffc17b647ded9137,E05000813,E08000008,confirmed,True,2022-08-14,2022-09-09,2022-11-26,2022-12-17,
b45def583ad2f6b9157c,UNKNOWN,UNKNOWN,,False,2022-08-14,,,,
dede69214c55e1ce7413,UNKNOWN,UNKNOWN,,False,2022-08-14,,,,
fc36e73441552c89d85d,E05011397,E08000035,confirmed,True,2022-08-14,2022-09-16,2022-11-26,2023-02-06,
03f4087e45902744526f,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
11ae6c609ef2268b5a97,E05011413,E08000035,confirmed,True,2022-08-15,2022-09-09,2022-11-26,2022-12-17,
4550de57653f6ee19573,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
51be5a966983fd155b7a,E05001356,E08000032,FROZEN ACCOUNT CP5,True,2022-08-15,2022-11-16,2022-12-07,,
51cf8706377d7d78e367,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
72543f865de4645e7bef,E05011405,E08000035,confirmed,True,2022-08-15,2022-09-22,2022-11-26,2023-04-25,
b4d70b278661373f9889,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
b536faf26d7d1a6b6a41,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
bfd05b1e412a0f01af2c,UNKNOWN,UNKNOWN,,False,2022-08-15,,,,
dbc850544ba3c5d836da,UNKNOWN,UNKNOWN,,False,2022-08-15,2022-09-16,2022-11-26,2022-12-17,
edf871e3df97f70b6299,E05011406,E08000035,FROZEN ACCOUNT CP5,True,2022-08-15,2022-12-19,2023-01-10,,
129a4445d3b0abed059a,UNKNOWN,UNKNOWN,,False,2022-08-16,,,,
1303aecd52db247b24a3,E05011400,E08000035,confirmed,True,2022-08-16,2022-09-28,2022-10-15,2022-11-05,
305a205c653b5416a2ce,E05011396,E08000035,confirmed,True,2022-08-16,2022-09-09,2022-11-26,2022-12-17,
3fe032da06ff01db0315,UNKNOWN,UNKNOWN,,False,2022-08-16,,,,
4e9a9c5f5084757f104a,UNKNOWN,UNKNOWN,,False,2022-08-16,,,,
5f0ff05a2f2888af4cf9,E05011397,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-16,2022-09-16,2022-11-26,,
7315531b2572aeaf3a12,UNKNOWN,UNKNOWN,,False,2022-08-16,,,,
7a573d2586203fbf8dd7,E05011397,E08000035,confirmed,True,2022-08-16,2022-09-22,2022-11-26,2022-12-17,
dc05724d4bc578a1e49e,E05011390,E08000035,confirmed,True,2022-08-16,2022-09-26,2022-10-15,2022-11-05,
dc2d904a8ce3e0f936d1,UNKNOWN,UNKNOWN,,False,2022-08-16,,,,
0cf1e825a1e82167e099,E05011397,E08000035,confirmed,True,2022-08-17,2022-09-16,2022-11-26,2022-12-17,
12e8b8a9e0b269416e99,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
15044c92a1cfa3696042,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
27485363df35e8536ced,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
3f09ba1b9ae64366e018,E05012841,E08000035,confirmed,True,2022-08-17,2022-09-09,2022-11-26,2022-12-17,
44feafd1a37c2f608c97,E05012647,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-17,2022-09-09,,,
49f7d32831083e9f2a23,E05011405,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-17,2022-09-09,,,
4df018c7bda48bcae509,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
5328772e95c0bdebc7e8,E05011549,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-17,2022-09-16,2022-11-26,,
5363bf3bd9d022935e0c,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
679755712f404c5e8c20,E05011410,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-17,2022-09-26,,,
7231df5b63b87da20761,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
93027eb5c9999c2294d5,E05010059,E07000169,FROZEN ACCOUNTS CP4,True,2022-08-17,2022-09-16,2022-11-26,,
989e587a7f6e161fa71e,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
a8ffeee93ef1774c1772,E05011403,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-17,2022-12-19,,,
c1eb2c5288a5666c780d,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
c95ad1b87e1b50cdbc2e,E05001700,E06000011,confirmed,True,2022-08-17,2022-10-03,2022-10-15,2022-11-05,
cc253fb550f885001f57,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
d53673bcc5eba6adb94b,UNKNOWN,UNKNOWN,,False,2022-08-17,,,,
da73a939062fbacb7df6,E05001343,E08000032,FROZEN ACCOUNT CP5,True,2022-08-17,2022-09-16,2022-11-26,,
e248f1ace75d0829d839,E05011384,E08000035,confirmed,True,2022-08-17,2022-10-05,2022-10-15,2022-11-05,
05fa7876be1790568d03,UNKNOWN,UNKNOWN,,False,2022-08-18,,,,
40ac6b4f39ffd3dc62aa,UNKNOWN,UNKNOWN,,False,2022-08-18,,,,
733e012bff1ced96e480,UNKNOWN,UNKNOWN,,False,2022-08-18,,,,
890e621e3b62966f2090,E05012842,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-18,2022-09-16,2022-11-26,,
96689927433a9f4e0d64,E05012648,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-18,2022-10-05,,,
a856c47e23c67621c34b,E05013831,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-18,2022-09-09,,,
02863f718c56723f8c61,E05011547,E08000035,confirmed,True,2022-08-19,2022-09-14,2023-03-22,2023-04-25,
1206d107851916757d18,UNKNOWN,UNKNOWN,,False,2022-08-19,2022-09-09,,,
2ba72f3bf4e7411a46d3,E05012841,E08000035,confirmed,True,2022-08-19,2022-10-21,2023-01-10,2023-04-25,
30cc0e0a2602ca634010,UNKNOWN,UNKNOWN,,False,2022-08-19,2022-10-28,,,
9fd74c3c67525a343f4f,E05011390,E08000035,confirmed,True,2022-08-19,2022-09-27,2022-10-15,2022-11-05,
afc57c8b7b82d93b70cc,UNKNOWN,UNKNOWN,,False,2022-08-19,,,,
507175d519cdc324a9a0,UNKNOWN,UNKNOWN,,False,2022-08-20,,,,
692b8c5c7cfa996edd0a,E05011389,E08000035,confirmed,True,2022-08-20,2022-09-09,2022-11-26,2022-12-17,
a1fcc997634137721ce6,E05011403,E08000035,FROZEN ACCOUNT CP5,True,2022-08-20,2022-09-22,2022-11-26,,
c649771a59393dedbed0,E05011390,E08000035,confirmed,True,2022-08-20,2022-09-14,2022-11-26,2022-12-17,
c9c103bac3a568463277,E05011403,E08000035,confirmed,True,2022-08-20,2022-09-09,2022-11-26,2022-12-17,
d891939d6e0814d79028,UNKNOWN,UNKNOWN,,False,2022-08-20,2022-09-09,2022-11-26,,
1461bdb9e41f6ace3dab,E05001377,E08000033,FROZEN ACCOUNTS CP3,True,2022-08-21,2022-09-09,,,
28698d2410e50d478b8f,UNKNOWN,UNKNOWN,,False,2022-08-21,,,,
b2f96ce2ab0b25591459,E05011411,E08000035,confirmed,True,2022-08-21,2022-09-09,2023-03-24,2023-04-25,
ed75be445821f85c06da,E05011387,E08000035,confirmed,True,2022-08-21,2022-09-09,2022-11-26,2022-12-19,
fcea1055ec6d2822c4b6,E05011411,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-21,2022-09-09,,,
37bb19f08715b34f5063,UNKNOWN,UNKNOWN,,False,2022-08-22,2022-09-26,,,
4968c43ecb0bd4a5a3ae,E05011403,E08000035,confirmed,True,2022-08-22,2022-09-16,2022-11-26,2022-12-17,
53d378a3b304ddb1c2d5,E05001455,E08000036,FROZEN ACCOUNTS CP3,True,2022-08-22,2022-09-09,,,
75c7385a33b1ce179b6b,E05013831,E08000035,confirmed,True,2022-08-22,2022-09-09,2023-01-11,2023-02-06,
8bd3dbd55b81c1aef928,E05011390,E08000035,confirmed,True,2022-08-22,2022-09-09,2022-12-07,2022-12-17,
8c5246c6af80f8378344,UNKNOWN,UNKNOWN,,False,2022-08-22,,,,
b1178c1a43d8f7fe68ae,UNKNOWN,UNKNOWN,,False,2022-08-22,,,,
ef64b42c4ddb1ac0f3fd,UNKNOWN,UNKNOWN,,False,2022-08-22,,,,
1968dc9f8e660a83f395,UNKNOWN,UNKNOWN,,False,2022-08-23,,,,
5043d1f316a656455c9e,E05011403,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-23,2022-09-16,2022-11-26,,
53146420db7e7de8d248,E05001357,E08000032,confirmed,True,2022-08-23,2022-09-25,2022-11-26,2022-12-17,
631d00b1c88641a36144,UNKNOWN,UNKNOWN,,False,2022-08-23,,,,
6f2a982bcb3c8ca0598a,UNKNOWN,UNKNOWN,,False,2022-08-23,,,,
895098db1aa72dafb605,E05012842,E08000035,FROZEN ACCOUNT CP5,True,2022-08-23,2022-09-09,2022-11-26,,
9a7843c7940c5ec3a8b7,UNKNOWN,UNKNOWN,,False,2022-08-23,,,,
a1b705fe0e6a6f781332,UNKNOWN,UNKNOWN,,False,2022-08-23,,,,
e8643909623ebad55221,E05011400,E08000035,confirmed,True,2022-08-23,2022-09-28,2022-10-15,2022-11-05,
01de1c02757938328b47,E05011403,E08000035,confirmed,True,2022-08-24,2022-09-16,2022-11-26,2022-12-17,
1bc7cef2c7cf7412a5da,E05011409,E08000035,confirmed,True,2022-08-24,2022-09-09,2022-11-26,2023-04-25,
3ac6e4a11230ca187e44,UNKNOWN,UNKNOWN,,False,2022-08-24,,,,
577212fbf6df78d5d847,E05012841,E08000035,confirmed,True,2022-08-24,2022-09-09,2022-11-26,2022-12-17,
9827118e5fbd0269a416,E05011399,E08000035,confirmed,True,2022-08-24,2022-09-09,2022-11-26,2022-12-17,
bbe326c20863e2230369,E05011403,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-24,2022-09-16,2022-11-26,,
bf9f0ba18c77f262d994,E05011406,E08000035,confirmed,True,2022-08-24,2022-09-09,2022-11-26,2023-02-06,
daca7098329eb6d32d42,UNKNOWN,UNKNOWN,,False,2022-08-24,,,,
dbb6a862cd3112674b87,UNKNOWN,UNKNOWN,,False,2022-08-24,,,,
1b66d2864292ec301229,UNKNOWN,UNKNOWN,,False,2022-08-25,,,,
89c676d5abdf880bd80d,UNKNOWN,UNKNOWN,,False,2022-08-25,,,,
cd0acc4f8cf915d97d66,E05011395,E08000035,confirmed,True,2022-08-25,2022-09-27,2022-10-15,2022-11-05,
d18289897ae654ee1ebb,E05011389,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-25,2022-09-27,2022-10-15,,
f980a13b631af30551fa,E05001462,E08000036,FROZEN ACCOUNTS CP3,True,2022-08-25,2022-09-26,,,
031170015f6e37710a83,E05011399,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-26,2022-09-21,2023-01-10,,
0de0d00404a3ae1489ff,E05011397,E08000035,confirmed,True,2022-08-26,2022-10-30,2022-11-26,2022-12-17,
1f87dd2bc56042f5dbe2,E05012841,E08000035,confirmed,True,2022-08-26,2022-09-16,2022-11-26,2022-12-19,
3704294cc5e1a1270e88,UNKNOWN,UNKNOWN,,False,2022-08-26,,,,
631a705e796211671f4e,UNKNOWN,UNKNOWN,,False,2022-08-26,,,,
6ee6d8e98980054a3afc,UNKNOWN,UNKNOWN,,False,2022-08-26,2022-09-09,,,
84a3fbce84b7ee702201,E05011401,E08000035,confirmed,True,2022-08-26,2022-09-09,2022-11-26,2022-12-17,
908ef81a45f61f74b6e8,E05011395,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-26,2022-09-27,2022-11-26,,
98061b63a8efc9eebbb7,E05011391,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-26,2023-01-10,,,
b8d833ca4a80ee0774f6,UNKNOWN,UNKNOWN,,False,2022-08-26,,,,
bf85fe2c44a03c2fc292,E05011397,E08000035,confirmed,True,2022-08-26,2022-09-22,2022-11-26,2022-12-17,
c49e08178658bbe60be6,UNKNOWN,UNKNOWN,,False,2022-08-26,,,,
d538f6b231b28cdb2aa3,E05011411,E08000035,FROZEN ACCOUNT CP5,True,2022-08-26,2023-01-31,2023-03-20,,
dbb80d26ba4df6aea184,UNKNOWN,UNKNOWN,,False,2022-08-26,2022-09-09,,,
e56d1aedd04244bbbc80,E05011384,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-26,2022-09-26,,,2023-03-20
ea8d75bdd423ca8ea762,E05011385,E08000035,confirmed,True,2022-08-26,2022-09-27,2022-10-15,2022-11-05,
eaa8f57b248fd4a5ecd0,E05001403,E08000034,confirmed,True,2022-08-26,2022-09-21,2022-11-26,2022-12-17,
ec37aa53450c66e59dbd,UNKNOWN,UNKNOWN,,False,2022-08-26,,,,
edbb2d31261a1e8c171d,E05011411,E08000035,confirmed,True,2022-08-26,2022-09-26,2023-01-11,2023-02-06,
f97e61befb2680cda4b5,E05011404,E08000035,confirmed,True,2022-08-26,2022-09-09,2022-11-26,2022-12-17,
b7a5e0a0cdff9d0759f4,UNKNOWN,UNKNOWN,,False,2022-08-27,2022-09-09,,,
baef9f391782cdc8b138,UNKNOWN,UNKNOWN,,False,2022-08-27,,,,
d051adcbc69d944d5438,E05012842,E08000035,confirmed,True,2022-08-27,2022-09-09,2022-11-26,2022-12-17,
ee7257a9660f59fe7669,E05011411,E08000035,FROZEN ACCOUNTS CP3,True,2022-08-27,2022-09-29,,,
fc1b3c3c838c2aa5a2ef,UNKNOWN,UNKNOWN,,False,2022-08-27,2022-09-09,,,
133a8be457f3bd95102f,E05011403,E08000035,FROZEN ACCOUNT CP5,True,2022-08-28,2022-09-16,2022-11-26,,
45ca4ac0b5e6248a6dcc,UNKNOWN,UNKNOWN,,False,2022-08-28,2022-09-15,,,
4ae67f285f0fe11163c6,E05001463,E08000036,confirmed,True,2022-08-28,2022-09-21,2023-01-02,2023-02-06,
800601815214f9e86c7d,UNKNOWN,UNKNOWN,,False,2022-08-28,,,,
8c8faec7dc242b587c9e,E05011411,E08000035,confirmed,True,2022-08-28,2022-09-09,2022-11-26,2022-12-17,
8c995d81f42566a53e70,E05001356,E08000032,FROZEN ACCOUNTS CP3,True,2022-08-28,2023-01-12,,,
8eb5ca530eed23964f9a,UNKNOWN,UNKNOWN,,False,2022-08-28,,,,
933fe4c800b5825306f3,UNKNOWN,UNKNOWN,,False,2022-08-28,,,,
a857eea082b847f317c0,E05011389,E08000035,confirmed,True,2022-08-28,2022-09-09,2022-11-26,2022-12-17,
19e8e04692350b79555b,UNKNOWN,UNKNOWN,,False,2022-08-29,,,,
1a6bc678cde145f49e94,UNKNOWN,UNKNOWN,,False,2022-08-29,,,,
2d574b5391bc83f2e9a1,UNKNOWN,UNKNOWN,,False,2022-08-29,,,,
7cd1be3c435ee4a3766f,UNKNOWN,UNKNOWN,,False,2022-08-29,,,,
8577714fe7cb6afd5387,UNKNOWN,UNKNOWN,,False,2022-08-29,2022-09-09,,,
8da80a1a2cce1b9a5392,UNKNOWN,UNKNOWN,,False,2022-08-29,,,,
974235faf99a676565b3,E05001393,E08000034,confirmed,True,2022-08-29,2022-09-09,2022-11-26,2022-12-17,
982cfbb08477d9deed41,E05011413,E08000035,FROZEN ACCOUNT CP5,True,2022-08-29,2022-11-15,2023-06-17,,
ac1a32be350e643706cd,UNKNOWN,UNKNOWN,,False,2022-08-29,2022-09-21,,,
d8856a8e4cbef03d55b5,UNKNOWN,UNKNOWN,,False,2022-08-29,2022-09-09,,,
10f5cdf0f4e103a382c4,E05011547,E08000035,confirmed,True,2022-08-30,2022-09-29,2022-10-15,2022-11-05,
116d4979aaf29213ab7c,E05011547,E08000035,confirmed,True,2022-08-30,2022-09-09,2022-11-26,2022-12-17,
39a4f3faeef92712171d,UNKNOWN,UNKNOWN,,False,2022-08-30,,,,
3c036878c0b3c1ac12d8,UNKNOWN,UNKNOWN,,False,2022-08-30,,,,
48b7fdec469812dfe899,UNKNOWN,UNKNOWN,,False,2022-08-30,,,,
673c0e6c30b0aea7b82d,UNKNOWN,UNKNOWN,,False,2022-08-30,2022-09-09,,,
9b417c23db61c04c1d69,UNKNOWN,UNKNOWN,,False,2022-08-30,,,,
a1a404e49cb5c13d3b86,E05011409,E08000035,confirmed,True,2022-08-30,2023-01-15,2023-03-22,2023-04-25,
