date,audience,net_audience_growth,audience_gained,sent_messages_total,published_posts_total,received_messages_total,impressions,video_views,engagements,engagement_rate_per_impression,reactions,comments,shares,post_link_clicks,sent_posts_linkedin,received_comments_linkedin,sent_comments_linkedin
2021-08-14,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-08-15,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-08-16,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2021-08-17,0,1,1,0,0,0,13,0,1,7.69,0,0,0,1,0,0,0
2021-08-18,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0,155,0,10,6.45,6,0,0,4,0,0,0
2021-08-20,0,0,0,0,0,0,101,0,3,2.97,1,0,0,2,0,0,0
2021-08-21,0,0,0,0,0,0,19,0,1,5.26,0,0,0,1,0,0,0
2021-08-22,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2021-08-23,0,1,1,0,0,0,43,0,1,2.33,0,0,0,1,0,0,0
2021-08-24,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2021-08-25,0,1,1,0,0,0,16,0,1,6.25,0,0,0,1,0,0,0
2021-08-26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-08-27,0,3,3,0,0,0,658,0,66,10.03,26,8,1,31,0,0,0
2021-08-28,0,2,2,0,0,0,410,0,21,5.12,10,2,0,9,0,0,0
2021-08-29,0,4,4,0,0,0,194,0,17,8.76,8,0,1,8,0,0,0
2021-08-30,0,3,3,0,0,0,242,0,28,11.57,6,0,4,18,0,0,0
2021-08-31,0,2,2,0,0,0,247,0,18,7.29,9,0,1,8,0,0,0
2021-09-01,0,3,3,0,0,0,146,0,7,4.79,4,0,0,3,0,0,0
2021-09-02,0,3,3,0,0,0,189,0,5,2.65,3,0,0,2,0,0,0
2021-09-03,0,1,1,0,0,0,128,0,12,9.38,4,1,0,7,0,0,0
2021-09-04,0,1,1,0,0,0,115,0,4,3.48,2,0,0,2,0,0,0
2021-09-05,0,1,1,0,0,0,134,0,6,4.48,3,0,0,3,0,0,0
2021-09-06,0,1,1,0,0,0,165,0,17,10.3,8,2,1,6,0,0,0
2021-09-07,0,1,1,0,0,0,222,0,14,6.31,2,1,0,11,0,0,0
2021-09-08,0,4,4,0,0,0,141,0,7,4.96,1,0,0,6,0,0,0
2021-09-09,0,2,2,0,0,0,136,0,10,7.35,2,0,0,8,0,0,0
2021-09-10,0,3,3,0,0,0,72,0,8,11.11,2,2,0,4,0,0,0
2021-09-11,0,2,2,0,0,0,20,0,1,5,0,0,0,1,0,0,0
2021-09-12,0,1,1,0,0,0,21,0,2,9.52,1,0,0,1,0,0,0
2021-09-13,0,-1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
2021-09-14,0,6,6,0,0,0,109,0,9,8.26,5,0,1,3,0,0,0
2021-09-15,0,5,5,0,0,0,99,0,7,7.07,0,0,0,7,0,0,0
2021-09-16,0,3,3,0,0,0,78,0,2,2.56,1,0,0,1,0,0,0
2021-09-17,0,3,3,0,0,0,39,0,1,2.56,0,0,0,1,0,0,0
2021-09-18,0,0,0,0,0,0,29,0,1,3.45,0,0,0,1,0,0,0
2021-09-19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2021-09-20,0,3,3,0,0,0,49,0,2,4.08,0,0,1,1,0,0,0
2021-09-21,0,3,3,0,0,0,37,0,4,10.81,1,0,1,2,0,0,0
2021-09-22,0,2,2,0,0,0,13,0,3,23.08,0,0,0,3,0,0,0
2021-09-23,0,1,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2021-09-24,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2021-09-25,0,2,2,0,0,0,23,0,3,13.04,0,0,0,3,0,0,0
2021-09-26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-09-27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-09-28,0,2,2,0,0,0,98,0,8,8.16,2,0,1,5,0,0,0
2021-09-29,0,3,3,0,0,0,64,0,7,10.94,2,0,1,4,0,0,0
2021-09-30,0,2,2,0,0,0,89,0,8,8.99,1,0,1,6,0,0,0
2021-10-01,0,0,0,0,0,0,206,0,11,5.34,2,0,3,6,0,0,0
2021-10-02,0,0,0,0,0,0,78,0,5,6.41,0,0,0,5,0,0,0
2021-10-03,0,0,0,0,0,0,38,0,1,2.63,0,0,0,1,0,0,0
2021-10-04,0,4,4,0,0,0,77,0,7,9.09,1,0,2,4,0,0,0
2021-10-05,0,2,2,0,0,0,228,0,9,3.95,4,0,0,5,0,0,0
2021-10-06,0,13,13,0,0,0,618,0,45,7.28,12,0,3,30,0,0,0
2021-10-07,0,6,6,0,0,0,479,0,34,7.1,6,0,5,23,0,0,0
2021-10-08,0,5,5,0,0,0,80,0,5,6.25,2,0,1,2,0,0,0
2021-10-09,0,1,1,0,0,0,59,0,5,8.47,1,0,0,4,0,0,0
2021-10-10,0,0,0,0,0,0,45,0,3,6.67,1,0,1,1,0,0,0
2021-10-11,0,3,3,0,0,0,74,0,6,8.11,3,0,0,3,0,0,0
2021-10-12,0,2,2,0,0,0,37,0,1,2.7,0,0,0,1,0,0,0
2021-10-13,0,5,5,0,0,0,105,0,11,10.48,2,1,1,7,0,0,0
2021-10-14,0,0,0,0,0,0,77,0,3,3.9,0,0,0,3,0,0,0
2021-10-15,0,5,5,0,0,0,87,0,6,6.9,2,0,1,3,0,0,0
2021-10-16,0,2,2,0,0,0,59,0,4,6.78,1,0,1,2,0,0,0
2021-10-17,0,2,2,0,0,0,123,0,21,17.07,1,0,0,20,0,0,0
2021-10-18,0,3,3,0,0,0,120,0,9,7.5,0,0,0,9,0,0,0
2021-10-19,0,0,0,0,0,0,83,0,9,10.84,1,0,0,8,0,0,0
2021-10-20,0,3,3,0,0,0,254,0,15,5.91,6,0,1,8,0,0,0
2021-10-21,0,2,2,0,0,0,156,0,15,9.62,5,0,0,10,0,0,0
2021-10-22,0,1,1,0,0,0,146,0,12,8.22,2,0,0,10,0,0,0
2021-10-23,0,5,5,0,0,0,357,0,29,8.12,7,0,10,12,0,0,0
2021-10-24,0,3,3,0,0,0,193,0,20,10.36,6,0,4,10,0,0,0
2021-10-25,0,2,2,0,0,0,111,0,6,5.41,2,0,1,3,0,0,0
2021-10-26,0,3,3,0,0,0,70,0,6,8.57,1,0,1,4,0,0,0
2021-10-27,0,2,2,0,0,0,33,0,1,3.03,1,0,0,0,0,0,0
2021-10-28,0,4,4,0,0,0,30,0,2,6.67,0,0,0,2,0,0,0
2021-10-29,0,1,1,0,0,0,155,0,7,4.52,5,0,0,2,0,0,0
2021-10-30,0,1,1,0,0,0,71,0,1,1.41,0,0,0,1,0,0,0
2021-10-31,0,1,1,0,0,0,164,0,9,5.49,1,0,2,6,0,0,0
2021-11-01,0,2,2,0,0,0,239,0,31,12.97,7,1,3,20,0,0,0
2021-11-02,0,6,6,0,0,0,291,0,25,8.59,10,0,3,12,0,0,0
2021-11-03,0,1,1,0,0,0,329,0,18,5.47,8,0,1,9,0,0,0
2021-11-04,0,4,4,0,0,0,266,0,19,7.14,6,0,3,10,0,0,0
2021-11-05,0,2,2,0,0,0,343,0,20,5.83,8,0,0,12,0,0,0
2021-11-06,0,1,1,0,0,0,446,0,29,6.5,9,0,2,18,0,0,0
2021-11-07,0,3,3,0,0,0,112,0,6,5.36,1,0,2,3,0,0,0
2021-11-08,0,8,8,0,0,0,267,0,14,5.24,4,0,3,7,0,0,0
2021-11-09,0,5,5,0,0,0,473,0,25,5.29,10,0,1,14,0,0,0
2021-11-10,0,2,2,0,0,0,190,0,17,8.95,5,0,1,11,0,0,0
2021-11-11,0,3,3,0,0,0,278,0,28,10.07,14,0,4,10,0,0,0
2021-11-12,0,6,6,0,0,0,313,0,35,11.18,7,0,4,24,0,0,0
2021-11-13,0,1,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0
2021-11-14,0,3,3,0,0,0,76,0,8,10.53,5,0,2,1,0,0,0
2021-11-15,0,4,4,0,0,0,206,0,12,5.83,1,1,5,5,0,0,0
2021-11-16,0,2,2,0,0,0,66,0,1,1.52,0,0,0,1,0,0,0
2021-11-17,0,1,1,0,0,0,84,0,3,3.57,0,0,0,3,0,0,0
2021-11-18,0,3,3,0,0,0,95,0,6,6.32,1,0,0,5,0,0,0
2021-11-19,0,1,1,0,0,0,273,0,24,8.79,11,0,0,13,0,0,0
2021-11-20,0,2,2,0,0,0,169,0,13,7.69,3,0,0,10,0,0,0
2021-11-21,0,2,2,0,0,0,130,0,4,3.08,2,0,0,2,0,0,0
