OBJECTID,PCON20CD,PCON20NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
36,E14000565,"Birmingham, Northfield",401888,279459,-1.97366,52.413139,33501.558166712,-24456412.8899081
37,E14000566,"Birmingham, Perry Barr",406035,291868,-1.91247,52.52467,28244.6518259421,-24857445.1392173
38,E14000567,"Birmingham, Selly Oak",406396,280770,-1.90736,52.424889,30876.3758307114,-21875870.781046
39,E14000568,"Birmingham, Yardley",412993,284792,-1.81019,52.46093,28125.0059767975,-22614284.312778
40,E14000569,Bishop Auckland,400989,521813,-1.98621,54.591511,197534.637637543,-922670490.534016
41,E14000570,Blackburn,367090,427991,-2.5005,53.747261,32080.5060312109,-40344202.8932186
42,E14000571,Blackley and Broughton,384164,401961,-2.2402699,53.514099,34861.5081153717,-28160245.5950971
43,E14000572,Blackpool North and Cleveleys,333054,443884,-3.02,53.88681,37379.3859466898,-22985052.6730866
44,E14000573,Blackpool South,332819,433903,-3.02139,53.797089,23370.7968825184,-20223009.5201976
45,E14000574,Blaydon,417664,559658,-1.72588,54.931301,77998.1295253871,-110321973.61567
46,E14000575,Blyth Valley,428120,577680,-1.56095,55.092758,50870.3326089849,-70392142.8168074
47,E14000576,Bognor Regis and Littlehampton,494563,100500,-0.65959001,50.796349,71927.8097399834,-61294909.1119857
48,E14000577,Bolsover,447998,366869,-1.28299,53.196758,120887.760161724,-226405522.30057
49,E14000578,Bolton North East,372934,412475,-2.4105301,53.608139,36869.8434545399,-35943256.2039895
50,E14000579,Bolton South East,371679,406344,-2.4289401,53.552971,36791.2581731685,-36824187.1380584
51,E14000580,Bolton West,364518,408253,-2.53724,53.569691,58858.5291660038,-71763713.6851728
52,E14000581,Bootle,333915,397229,-2.9969599,53.467651,24981.5124996803,-25843580.8583852
53,E14000582,Boston and Skegness,537721,349837,0.052108001,53.028118,572276.892711873,-707178272.957167
54,E14000583,Bosworth,439538,301379,-1.41755,52.608768,111981.353440873,-289040862.228049
55,E14000584,Bournemouth East,411612,93657,-1.83678,50.74239,39202.0752439411,-25530519.9606697
56,E14000585,Bournemouth West,406759,94023,-1.90555,50.745762,28828.6025108233,-27178169.065887
57,E14000586,Bracknell,483647,165246,-0.79947001,51.380112,49953.5944001698,-73946684.5438311
58,E14000587,Bradford East,417427,433388,-1.73692,53.79652,37368.7485188113,-28454442.2038546
59,E14000588,Bradford South,415841,429295,-1.7612,53.759781,62610.1202911956,-43261130.7633272
60,E14000589,Bradford West,412492,433844,-1.81182,53.800758,41139.3813411276,-35244544.8321657
61,E14000590,Braintree,577253,232650,0.57864898,51.964069,143248.944166143,-467565134.017103
62,E14000591,Brent Central,521544,185233,-0.24829,51.552898,29533.984755867,-18291411.1478049
63,E14000592,Brent North,518092,186649,-0.29758,51.56636,29791.8994250356,-20788169.248013
64,E14000593,Brentford and Isleworth,516569,177053,-0.32271999,51.480431,46779.4768367388,-26138740.7154944
65,E14000594,Brentwood and Ongar,556779,200101,0.26618099,51.677799,100003.207787813,-316708992.002401
66,E14000595,Bridgwater and West Somerset,302017,136701,-3.4014001,51.121181,326729.485095749,-1081616954.91632
67,E14000596,Brigg and Goole,476705,409463,-0.84302998,53.57618,267358.182962692,-637308049.85676
68,E14000597,"Brighton, Kemptown",534575,104474,-0.090680003,50.824162,47140.7892370452,-39759997.0677241
69,E14000598,"Brighton, Pavilion",531231,107526,-0.13704,50.85236,33987.1210389033,-29037855.6916372
70,E14000599,Bristol East,362430,172547,-2.5420401,51.450649,34798.7262915255,-23708756.1293554
71,E14000600,Bristol North West,355048,178219,-2.6489899,51.501099,68559.2042209535,-44142452.8383254
72,E14000601,Bristol South,358409,169601,-2.59956,51.423882,26473.9725112807,-24576412.2289548
73,E14000602,Bristol West,359407,174253,-2.5857401,51.465778,22660.3438323713,-17239169.9540119
74,E14000603,Broadland,617274,321242,1.217577,52.745129,309987.37422028,-763952980.663289
75,E14000604,Bromley and Chislehurst,542970,170358,0.054524999,51.414219,38566.9433510713,-29404311.5239062
76,E14000605,Bromsgrove,399840,273736,-2.0037601,52.361691,113135.446682073,-216968481.075697
77,E14000606,Broxbourne,534218,205427,-0.057859998,51.731499,47860.6510025556,-66870619.3069618
78,E14000607,Broxtowe,450754,346085,-1.24501,53.009689,57540.9306859136,-65790599.1946609
79,E14000608,Buckingham,477472,222419,-0.87553,51.894951,262429.658954512,-866945903.642625
80,E14000609,Burnley,384886,430882,-2.2307999,53.774059,57764.5705752294,-110684000.240327
81,E14000610,Burton,404391,334740,-1.93615,52.91008,161650.743271914,-243376410.132314
82,E14000611,Bury North,379312,413522,-2.3142099,53.61784,45515.3154050485,-51013144.6696252
83,E14000612,Bury South,380354,406519,-2.2980101,53.554939,49291.0035296788,-48446982.2323492
84,E14000613,Bury St Edmunds,594529,264764,0.84811902,52.246681,179769.91635222,-502058531.658706
85,E14000614,Calder Valley,403388,423842,-1.95014,53.710999,124620.092503722,-306262683.293016
86,E14000615,Camberwell and Peckham,533978,176264,-0.072460003,51.46949,21838.6066470703,-11404883.9331104
87,E14000616,Camborne and Redruth,171361,37224,-5.2045798,50.190781,161326.709488944,-279274337.558819
88,E14000617,Cambridge,545420,257901,0.126436,52.200169,41126.8763497625,-36181638.6817888
89,E14000618,Cannock Chase,401261,311553,-1.98277,52.70166,50127.6044538489,-78882570.4932335
90,E14000619,Canterbury,615367,155812,1.085447,51.260769,116858.566479868,-248695925.213448
91,E14000620,Carlisle,339760,552332,-2.9400101,54.862129,118569.115708154,-210579046.6946
92,E14000621,Carshalton and Wallington,528290,163524,-0.15891001,51.356312,31854.9783261511,-25497944.0289184
93,E14000622,Castle Point,579490,187920,0.58808398,51.561588,163452.231415357,-44673525.2912618
94,E14000623,Central Devon,272816,92580,-3.80304,50.71888,301058.791529387,-1413446219.90189
95,E14000624,Central Suffolk and North Ipswich,619438,262142,1.210705,52.213779,198725.5474817,-796226608.055577
96,E14000625,Charnwood,458723,311183,-1.13253,52.695171,124165.619246998,-171525682.109594
97,E14000626,Chatham and Aylesford,574815,163049,0.508434,51.339642,85139.4603279033,-61457489.9792155
98,E14000627,Cheadle,387557,385611,-2.1884501,53.367229,39912.4900647643,-39372059.6924993
99,E14000628,Chelmsford,571558,205432,0.482346,51.721371,37959.9034777412,-42391717.8910608
100,E14000629,Chelsea and Fulham,525981,177080,-0.18724,51.478649,17004.8769898299,-8284825.9823909
101,E14000630,Cheltenham,394670,221154,-2.07884,51.88892,35045.3177312316,-37245281.0378756
102,E14000631,Chesham and Amersham,495432,198692,-0.62111998,51.678902,87262.6779132262,-196348229.803875
103,E14000632,Chesterfield,440100,372487,-1.4005001,53.24791,47526.23271879,-47356755.5652303
104,E14000633,Chichester,490172,116639,-0.71789998,50.942139,305724.703768395,-621203461.370628
105,E14000634,Chingford and Woodford Green,538753,192824,0.0027620001,51.617142,22362.3311452031,-19049197.3035911
106,E14000635,Chippenham,385912,164688,-2.20381,51.381062,94800.8643736184,-167622472.664737
107,E14000636,Chipping Barnet,525720,194355,-0.18483,51.633961,40020.3695880507,-34607614.4936854
108,E14000637,Chorley,358735,418081,-2.62586,53.657589,78430.3164582398,-155203949.234833
109,E14000638,Christchurch,412843,100944,-1.81908,50.807899,106585.100186516,-108720993.905574
110,E14000639,Cities of London and Westminster,528186,180100,-0.15441,51.505299,29306.7354682521,-16382797.3819867
111,E14000640,City of Chester,339232,361928,-2.9101,53.15102,91965.3648068716,-133509411.578712
112,E14000641,City of Durham,427183,541519,-1.57903,54.767872,100041.198666233,-186683244.405787
113,E14000642,Clacton,618205,219639,1.1656131,51.832729,288391.407861764,-131204480.020703
114,E14000643,Cleethorpes,516876,415684,-0.23429,53.624668,165140.632772929,-331226331.48257
115,E14000644,Colchester,599674,224891,0.90007699,51.88681,39799.6094036213,-45611804.507652
116,E14000645,Colne Valley,408584,411123,-1.87177,53.596619,74556.2158218095,-180371681.451364
117,E14000646,Congleton,380524,363233,-2.2927699,53.165871,102256.596162568,-211005248.922211
118,E14000647,Copeland,314472,504225,-3.3197899,54.426239,315956.893521418,-1184522624.06813
119,E14000648,Corby,496882,284831,-0.57574999,52.452862,168840.307826681,-553951158.780893
120,E14000649,Coventry North East,436254,281108,-1.46825,52.426769,28822.2844767726,-27232324.2130447
121,E14000650,Coventry North West,430295,281733,-1.55582,52.432751,32684.5387691118,-38524210.4511673
122,E14000651,Coventry South,432903,277293,-1.5179,52.392689,43185.3206455217,-32882525.1340351
123,E14000652,Crawley,526390,137581,-0.19532999,51.123569,38799.7232795745,-44971204.9728369
124,E14000653,Crewe and Nantwich,371379,350813,-2.4284401,53.05381,69307.3132338424,-136190674.460004
125,E14000654,Croydon Central,535760,165278,-0.05102,51.370338,31392.8246648757,-25637481.5442497
126,E14000655,Croydon North,532367,168763,-0.098439999,51.402458,21158.5646971595,-17567090.4188798
127,E14000656,Croydon South,532475,160711,-0.099890001,51.33007,39187.8753066499,-43284148.7924468
128,E14000657,Dagenham and Rainham,551633,183166,0.184497,51.52705,47884.7006680052,-40967070.8216118
129,E14000658,Darlington,429096,515409,-1.55189,54.533131,31527.3329905192,-30039607.2798042
130,E14000659,Dartford,556489,173120,0.24999399,51.435471,74872.5871149598,-85872191.2138932
131,E14000660,Daventry,469194,268437,-0.98648,52.309711,216124.616231553,-748417402.451155
132,E14000661,Denton and Reddish,391356,394907,-2.1316199,53.450859,44068.4687516108,-25685346.112152
133,E14000662,Derby North,432427,336128,-1.51913,52.921612,36578.7176663337,-29508336.5582163
134,E14000663,Derby South,436265,333095,-1.4623899,52.8941,31984.1582586665,-31220664.3044114
135,E14000664,Derbyshire Dales,420966,359002,-1.68812,53.127789,251880.202342186,-910858604.327446
136,E14000665,Devizes,413665,161526,-1.80514,51.352638,199315.037453447,-1023422419.77665
137,E14000666,Dewsbury,421195,414257,-1.68102,53.624432,79721.7588268801,-126070563.364712
138,E14000667,Don Valley,460102,396080,-1.0963,53.458069,122444.741194817,-250862686.241036
139,E14000668,Doncaster Central,460833,404244,-1.08372,53.531361,61064.0666155139,-60567890.4633394
140,E14000669,Doncaster North,455325,408912,-1.16598,53.573921,144832.830847691,-256591680.561797
141,E14000670,Dover,629114,147137,1.276606,51.17754,96710.2662554179,-214175846.007762
142,E14000671,Dudley North,392287,291911,-2.1150999,52.525028,28792.4540558816,-23073785.8635029
143,E14000672,Dudley South,391503,288292,-2.12656,52.492481,28727.6535172393,-25376320.622465
144,E14000673,Dulwich and West Norwood,532835,172744,-0.090230003,51.438122,21248.0519900516,-14826014.824368
145,E14000674,Ealing Central and Acton,519020,181117,-0.28606999,51.516441,24598.1603277134,-17929638.8176798
146,E14000675,Ealing North,513799,183122,-0.36063001,51.535542,27132.0678041038,-23266273.5096667
147,E14000676,"Ealing, Southall",514022,180335,-0.35832,51.510441,26561.0724805873,-14346156.6634848
148,E14000677,Easington,441536,544396,-1.3555501,54.792751,70120.6912343776,-117569589.39202
149,E14000678,East Devon,305686,90918,-3.3371401,50.710201,121900.843767068,-333158286.57259
150,E14000679,East Ham,542704,183066,0.055831,51.528481,28772.6101200396,-18852971.5883534
151,E14000680,East Hampshire,474404,130897,-0.93936998,51.072578,124035.345960285,-463614075.348495
152,E14000681,East Surrey,535127,149673,-0.066009998,51.230251,89763.8098683028,-259431716.549295
153,E14000682,East Worthing and Shoreham,516691,106109,-0.34395,50.842739,67042.3991480074,-55443768.7434043
154,E14000683,East Yorkshire,494363,455529,-0.56235999,53.987221,254967.562214331,-1052758011.91513
155,E14000684,Eastbourne,560047,100414,0.26891401,50.781212,39753.0944886056,-54951544.843636
156,E14000685,Eastleigh,447457,116523,-1.32584,50.94619,72657.6095891443,-72542875.4557908
157,E14000686,Eddisbury,355955,357876,-2.6595099,53.116249,218981.995775847,-712449906.487005
158,E14000687,Edmonton,534700,194035,-0.055270001,51.629009,23186.7725724379,-19744662.4352743
159,E14000688,Ellesmere Port and Neston,342023,374067,-2.87058,53.260429,145815.315040844,-123071114.501595
160,E14000689,Elmet and Rothwell,437927,442179,-1.42463,53.874451,117554.085994896,-246012436.095476
161,E14000690,Eltham,542695,174623,0.052290998,51.45261,27820.240460284,-21597081.5877235
162,E14000691,Enfield North,533311,198224,-0.073729999,51.666981,35173.4633608388,-37272230.6121868
163,E14000692,"Enfield, Southgate",529425,196198,-0.13064,51.649689,38172.453776132,-25173436.4150465
164,E14000693,Epping Forest,542999,199636,0.066831,51.677292,74603.377809129,-126245638.466791
165,E14000694,Epsom and Ewell,520890,161165,-0.26593,51.336731,35598.6202316782,-51739548.8124144
166,E14000695,Erewash,446887,337932,-1.30382,52.93676,58868.2143637748,-60042965.0031415
167,E14000696,Erith and Thamesmead,547902,179126,0.12906,51.491741,25293.074963203,-23312504.7584839
168,E14000697,Esher and Walton,513123,163563,-0.37661999,51.359879,45303.3804094479,-80547555.3276302
169,E14000698,Exeter,293158,92888,-3.51508,50.725739,41892.09931988,-37954234.5771045
170,E14000699,Fareham,455616,106742,-1.21119,50.85751,66155.1198438194,-63256257.3048089
171,E14000700,Faversham and Mid Kent,589077,153140,0.70771199,51.246078,162686.211101437,-388063082.430928
172,E14000701,Feltham and Heston,510743,174852,-0.40727001,51.461811,38139.5457130038,-29824127.7088907
173,E14000702,Filton and Bradley Stoke,359919,181654,-2.5792201,51.53236,66414.3664809136,-80699899.3275625
174,E14000703,Finchley and Golders Green,525191,189002,-0.19437,51.585972,26688.8250324803,-20818483.2361564
175,E14000704,Folkestone and Hythe,610318,138085,1.002823,51.10347,153972.626380884,-433865842.695625
176,E14000705,Forest of Dean,370366,223234,-2.4321599,51.906849,212456.584210546,-583707609.535015
177,E14000706,Fylde,340574,433972,-2.9036901,53.798649,150283.272637844,-173899079.230691
178,E14000707,Gainsborough,499314,390326,-0.50774002,53.40044,246495.501303493,-1201138229.0113
179,E14000708,Garston and Halewood,343589,385827,-2.84921,53.366299,38659.0508518675,-51008076.6660438
180,E14000709,Gateshead,426033,561058,-1.59515,54.943508,33380.0659515685,-24605652.3285969
181,E14000710,Gedling,462238,343793,-1.07432,52.987881,43875.5225816876,-38135918.2202981
182,E14000711,Gillingham and Rainham,580021,165777,0.58447301,51.36253,51989.7526034094,-30386414.7651941
183,E14000712,Gloucester,384048,216342,-2.23296,51.845451,34192.447034883,-37719854.4451629
184,E14000713,Gosport,458437,101444,-1.17196,50.809589,45027.6498307375,-36377666.6071372
185,E14000714,Grantham and Stamford,502953,323566,-0.47439,52.79985,168095.268813895,-685708827.269883
186,E14000715,Gravesham,566969,169114,0.39874399,51.396488,60516.7991560889,-98991345.0269165
187,E14000716,Great Grimsby,526243,407997,-0.09584,53.553452,30807.1817911649,-28131672.6920051
188,E14000717,Great Yarmouth,646761,315881,1.64951,52.684391,145908.157034746,-174314101.761577
189,E14000718,Greenwich and Woolwich,541982,178079,0.043423999,51.483841,34006.4010428532,-16804643.8796965
190,E14000719,Guildford,499332,149061,-0.57866001,51.23209,121109.041550191,-188649721.986647
191,E14000720,Hackney North and Stoke Newington,533597,186241,-0.074160002,51.559231,15708.8190401284,-9060955.07576399
192,E14000721,Hackney South and Shoreditch,534516,184214,-0.061689999,51.540798,21590.0725353566,-9982923.04435781
193,E14000722,Halesowen and Rowley Regis,396407,285885,-2.0543101,52.470901,37394.5464499965,-29762015.0888719
194,E14000723,Halifax,408844,427072,-1.86739,53.739971,52883.233031653,-57698306.2355899
195,E14000724,Haltemprice and Howden,488260,432100,-0.66215003,53.777779,156252.158544078,-431817451.773767
196,E14000725,Halton,350931,385329,-2.7388,53.362549,62864.4617663392,-50842843.2110775
197,E14000726,Hammersmith,523263,179603,-0.22548001,51.50193,19061.5384290302,-11277625.5097066
198,E14000727,Hampstead and Kilburn,525224,184366,-0.19554999,51.5443,22843.5423848124,-12749688.9737959
199,E14000728,Harborough,467129,293798,-1.01169,52.53793,117530.369802107,-204882706.43418
200,E14000729,Harlow,544823,209764,0.097401001,51.76783,74669.6672658171,-79691458.0296718
201,E14000730,Harrogate and Knaresborough,433778,459121,-1.48587,54.026989,87615.3113475295,-148146992.16348
202,E14000731,Harrow East,516590,191685,-0.31757,51.611931,24830.1352612302,-23707581.5856685
203,E14000732,Harrow West,514333,188002,-0.35135001,51.579288,23124.6510848748,-17853218.5709605
204,E14000733,Hartlepool,447160,531474,-1.27018,54.67614,71007.4432848008,-93712628.8476736
205,E14000734,Harwich and North Essex,606257,226702,0.99667698,51.900681,434903.902320451,-392063110.58364
206,E14000735,Hastings and Rye,586036,116839,0.64551598,50.921009,115279.850485081,-177043097.956217
207,E14000736,Havant,471155,107783,-0.99024999,50.86517,111299.483733835,-47583923.577265
208,E14000737,Hayes and Harlington,508166,177728,-0.44347,51.488159,36374.042901045,-45036813.8195028
209,E14000738,Hazel Grove,395593,389164,-2.06774,53.399288,47386.4455488169,-58297922.86584
210,E14000739,Hemel Hempstead,503880,211168,-0.49526,51.789539,68747.9549269643,-104371433.33663
211,E14000740,Hemsworth,440578,416338,-1.3877,53.641998,78999.149546251,-149977076.532025
212,E14000741,Hendon,521216,191861,-0.25073001,51.612541,32580.8097894154,-31340605.5065002
213,E14000742,Henley,461998,194076,-1.10542,51.642078,237675.613868677,-684058780.191198
214,E14000743,Hereford and South Herefordshire,342784,230969,-2.8343501,51.974232,211231.934373894,-724146255.338833
215,E14000744,Hertford and Stortford,540248,214919,0.033227999,51.815311,93980.3228633934,-156613054.825531
216,E14000745,Hertsmere,519774,199352,-0.26899001,51.680168,61228.1638486128,-101128162.743692
217,E14000746,Hexham,390212,567671,-2.1545601,55.00351,360912.578655104,-2439541165.94985
218,E14000747,Heywood and Middleton,385746,412106,-2.2168801,53.605331,57770.5096739517,-72572369.2613504
219,E14000748,High Peak,410474,387660,-1.84398,53.385689,159632.998758142,-540253999.811558
220,E14000749,Hitchin and Harpenden,517305,222266,-0.29695001,51.88662,136017.386927857,-256243003.732158
221,E14000750,Holborn and St Pancras,529122,183936,-0.13953,51.539558,21755.1918827391,-13185674.6742672
222,E14000751,Hornchurch and Upminster,556974,186879,0.26308101,51.558949,49922.8104322153,-57641643.3366875
223,E14000752,Hornsey and Wood Green,529562,189748,-0.13104001,51.59169,22768.1060426547,-16452665.6792548
224,E14000753,Horsham,516728,128429,-0.33627999,51.043362,162014.226659306,-344324412.752949
225,E14000754,Houghton and Sunderland South,436071,550396,-1.4398,54.84708,43646.1340523212,-65815008.4185807
226,E14000755,Hove,526924,107167,-0.19832,50.850101,23042.1080347607,-23943028.1537772
227,E14000756,Huddersfield,416063,417801,-1.75842,53.656471,42853.8105805502,-47049133.654695
228,E14000757,Huntingdon,518908,268395,-0.25759,52.300819,166316.483799047,-334889333.360804
229,E14000758,Hyndburn,374762,428561,-2.3842199,53.752811,52481.3664028497,-90263500.5965089
230,E14000759,Ilford North,544659,190971,0.087245002,51.59901,29120.6917863427,-28999319.9221321
231,E14000760,Ilford South,544662,186983,0.085646003,51.563171,25506.080484303,-15663683.145101
232,E14000761,Ipswich,617201,244449,1.166723,52.05584,40390.1494289999,-31514934.1800361
233,E14000762,Isle of Wight,447183,85949,-1.33366,50.671291,210138.825630348,-379620110.880529
234,E14000763,Islington North,530597,186352,-0.11737,51.560928,14398.7660110952,-7383479.06511037
235,E14000764,Islington South and Finsbury,531411,183491,-0.1067,51.53503,14949.8318324305,-7474562.65456129
236,E14000765,Jarrow,431908,562657,-1.50327,54.957539,49746.1821462079,-47246567.8116109
237,E14000766,Keighley,405387,444493,-1.91951,53.896591,81228.4855184887,-164438958.835365
238,E14000767,Kenilworth and Southam,442375,260518,-1.38082,52.241241,224282.654700675,-620554436.998494
239,E14000768,Kensington,525530,179393,-0.19291,51.499538,19538.8769071088,-8964609.30129875
240,E14000769,Kettering,483866,282852,-0.76773,52.437229,100689.501131667,-233489923.713026
241,E14000770,Kingston and Surbiton,519508,166863,-0.28385001,51.388229,31078.9765394278,-28368342.6914565
242,E14000771,Kingston upon Hull East,512460,431506,-0.29528999,53.76778,30663.1414374986,-28796206.7279
243,E14000772,Kingston upon Hull North,507982,431612,-0.36316001,53.76968,34426.9252697037,-24778899.590057
244,E14000773,Kingston upon Hull West and Hessle,507429,428283,-0.37270001,53.739891,32901.0389211368,-23717538.5026019
245,E14000774,Kingswood,367363,172198,-2.47102,51.447811,47403.8222375425,-43129426.8145562
246,E14000775,Knowsley,343147,394435,-2.8573999,53.443611,47373.8365591298,-54198095.0033237
247,E14000776,Lancaster and Fleetwood,353827,456824,-2.70596,54.005371,265400.065709712,-437863661.517111
248,E14000777,Leeds Central,431014,431345,-1.5308599,53.777531,34556.8490311979,-40955612.680268
249,E14000778,Leeds East,435457,435028,-1.46302,53.810349,34351.7964590365,-33684433.9157611
250,E14000779,Leeds North East,430948,438845,-1.53111,53.84494,33995.8115381548,-39484522.2739332
251,E14000780,Leeds North West,423969,440852,-1.63702,53.86335,60813.0668210487,-62122713.4894801
252,E14000781,Leeds West,425371,433988,-1.6162699,53.80159,36459.58712582,-30245587.727166
253,E14000782,Leicester East,461961,305445,-1.0857,52.64323,24881.9232441543,-23286480.3833718
254,E14000783,Leicester South,458931,302341,-1.13103,52.615669,26259.255936864,-21184455.4869795
255,E14000784,Leicester West,456222,306111,-1.17039,52.649841,28345.1296500473,-28871138.3197287
256,E14000785,Leigh,365379,399156,-2.5232301,53.48798,53490.3284849243,-67062217.397138
257,E14000786,Lewes,545745,107939,0.069174998,50.8526,218387.832822948,-370813652.589864
258,E14000787,Lewisham East,538645,173591,-0.00636,51.44434,31253.1106691758,-14770965.2874579
259,E14000788,Lewisham West and Penge,536088,170861,-0.044179998,51.420429,23719.2788121187,-15864639.4423807
260,E14000789,"Lewisham, Deptford",537338,175928,-0.024250001,51.46566,23651.5754885178,-12029891.4933253
261,E14000790,Leyton and Wanstead,539833,187829,0.016363,51.571991,23394.4547607679,-15314480.8663919
262,E14000791,Lichfield,412225,317506,-1.8203,52.755039,121466.520236939,-329065582.629819
263,E14000792,Lincoln,495467,370186,-0.57163,53.220181,52117.5642598605,-63898407.7568182
264,E14000793,"Liverpool, Riverside",336390,388230,-2.95786,53.387081,32755.2257191837,-24077352.6521069
265,E14000794,"Liverpool, Walton",336910,394442,-2.9512899,53.44297,29940.8703458553,-19765610.7956734
266,E14000795,"Liverpool, Wavertree",339023,390195,-2.9186599,53.405048,25042.6508279544,-17084990.7926207
267,E14000796,"Liverpool, West Derby",339745,393988,-2.90853,53.43922,27360.7852354677,-20619249.6042677
268,E14000797,Loughborough,453785,319805,-1.20418,52.773178,79258.2967982954,-130570213.91427
269,E14000798,Louth and Horncastle,535171,382656,0.027962999,53.323589,310574.372030108,-1378197342.93796
270,E14000799,Ludlow,350065,287901,-2.7367899,52.48674,343721.508064143,-1554921169.79192
271,E14000800,Luton North,507002,224395,-0.44591999,51.907829,21309.52755172,-18785156.8334102
272,E14000801,Luton South,508555,220571,-0.42456001,51.873161,40030.6346917461,-55788320.48422
273,E14000802,Macclesfield,390591,374746,-2.14253,53.26963,100972.483843754,-301738543.961859
274,E14000803,Maidenhead,484372,178127,-0.78597999,51.4958,82351.6697178779,-183413987.198857
275,E14000804,Maidstone and The Weald,575796,149220,0.515706,51.215111,121672.942795973,-223670001.634905
276,E14000805,Makerfield,358209,402916,-2.6317899,53.521252,54470.0727518408,-55860652.9815557
277,E14000806,Maldon,588455,201772,0.72471398,51.683079,399252.826791937,-375144705.10644
278,E14000807,Manchester Central,386354,398829,-2.2071099,53.486012,37033.0140678628,-28464511.4581125
279,E14000808,"Manchester, Gorton",386935,395086,-2.1982,53.452381,27660.2445587152,-17280776.6942337
280,E14000809,"Manchester, Withington",384007,392132,-2.2421401,53.425751,28143.3187367648,-19313700.8478397
281,E14000810,Mansfield,455047,363637,-1.17804,53.16703,51090.8571646568,-76696898.5854412
282,E14000811,Meon Valley,462539,119561,-1.1106499,50.972069,136422.751392048,-402170523.649195
283,E14000812,Meriden,418290,281451,-1.73241,52.430752,101353.859338938,-145563661.259155
284,E14000813,Mid Bedfordshire,504718,239346,-0.47455999,52.042641,158446.660998075,-457505463.8611
285,E14000814,Mid Derbyshire,439737,341743,-1.40973,52.971588,88021.1482159637,-92140130.5363619
286,E14000815,Mid Dorset and North Poole,391551,94607,-2.12112,50.750992,145777.516180599,-175794831.258051
