event_name,project_name,start_date,ward_name,ward_code,audience
Creation Station - Left Bank ,01 - The Awakening,2022-11-16,Headingley and Hyde Park,E05011397,
Creation Station - Left Bank ,01 - The Awakening,2022-11-23,Headingley and Hyde Park,E05011397,
Creation Station - Temple Newsam ,01 - The Awakening,2022-10-29,Temple Newsam,E05013831,
Creation Station - Temple Newsam ,01 - The Awakening,2022-10-30,Temple Newsam,E05013831,
Creation Station - The Tetley ,01 - The Awakening,2022-10-27,Hunslet and Riverside,E05011399,
Creation Station - The Tetley ,01 - The Awakening,2022-11-03,Hunslet and Riverside,E05011399,
Creation Station - Trinity Landing & Bridge,01 - The Awakening,2022-09-24,Little London and Woodhouse,E05011403,
Creation Station - University of Leeds ,01 - The Awakening,2022-11-23,Little London and Woodhouse,E05011403,
Creation Station - Yorkshire Schools Dance Festivals ,01 - The Awakening,2022-11-19,,,
Creation Station- Leeds Train Station,01 - The Awakening,2022-09-24,Hunslet and Riverside,E05011399,
Creation Station: Ballot Engagement ,01 - The Awakening,,,,
Leeds Art Gallery - Creation Station,01 - The Awakening,,Little London and Woodhouse,E05011403,13.0
Leeds Arts University - Creation Station,01 - The Awakening,,,,70.0
Leeds Central Library - Creation Station,01 - The Awakening,,Little London and Woodhouse,E05011403,7.0
Leeds City Museum,01 - The Awakening,,Little London and Woodhouse,E05011403,75.0
Leeds Train Station - Creation Station,01 - The Awakening,,Hunslet and Riverside,E05011399,20.0
Light Night - Creation Station,01 - The Awakening,,,,
Lotherton Hall ,01 - The Awakening,,,,10.0
Mass Movement Rehearsals,01 - The Awakening,2023-01-05,,,
Temple Newsam - Creation Station ,01 - The Awakening,,Temple Newsam,E05013831,10.0
Tetley - Creation Station ,01 - The Awakening,,Hunslet and Riverside,E05011399,
Trinity Bridge - Creation Station ,01 - The Awakening,,Little London and Woodhouse,E05011403,60.0
Trinity Bridge ES4  - Ballot workshop,01 - The Awakening,2022-11-19,Little London and Woodhouse,E05011403,
Trinity Bridge ES4 - Ballot workshop,01 - The Awakening,2022-10-08,Little London and Woodhouse,E05011403,
Trinity Bridge ES4 - Ballot workshop,01 - The Awakening,2022-10-22,Little London and Woodhouse,E05011403,
Trinity Bridge ES4 - Ballot workshop,01 - The Awakening,2022-11-05,Little London and Woodhouse,E05011403,
Trinity Landing - Creation Station,01 - The Awakening,,Little London and Woodhouse,E05011403,60.0
University of Leeds - Creation Station,01 - The Awakening,,Little London and Woodhouse,E05011403,60.0
Waking the Artist in Communities ,01 - The Awakening,2023-02-06,,,
White Rose - Ballot workshop,01 - The Awakening,2022-10-01,Morley North,E05011406,
White Rose - Ballot workshop,01 - The Awakening,2022-10-15,Morley North,E05011406,
White Rose - Ballot workshop,01 - The Awakening,2022-10-29,Morley North,E05011406,
White Rose - Ballot workshop,01 - The Awakening,2022-11-12,Morley North,E05011406,
White Rose - Creation Station ,01 - The Awakening,2022-10-01,Morley North,E05011406,65.0
Choral Performance Rehearsal,02 - Making A Stand,2023-04-27,Little London and Woodhouse,E05011403,
Delivery of Think Ins,05 - The Barn,2022-10-20,,,
Dream Builder's Workshop,05 - The Barn,,,,
Dream Builder's Workshop ,05 - The Barn,2023-03-20,Killingbeck and Seacroft,E05011400,
Dream Builder's Workshop - Maternal Journal ,05 - The Barn,2023-04-24,,,13.0
Dream Builders Workshop -  Mums on a Mission ,05 - The Barn,2023-04-27,,,8.0
Dream Builders Workshop - DASH ,05 - The Barn,2023-04-27,,,7.0
Dream Builders Workshop - Getaway Girls,05 - The Barn,2023-03-22,Gipton and Harehills,E05011394,12.0
Dream Builders Workshop - LS14 Trust ,05 - The Barn,2023-03-20,Killingbeck and Seacroft,E05011400,19.0
Dream Builders Workshop - Millan Centre ,05 - The Barn,2023-04-26,,,27.0
Dream Builders Workshop - Seacroft Hookers ,05 - The Barn,2023-03-20,Killingbeck and Seacroft,E05011400,18.0
Dream Builders Workshop - Seacroft Hookers ,05 - The Barn,2023-04-13,Killingbeck and Seacroft,E05011400,18.0
Dream Builders Workshop - Verd de Gris ,05 - The Barn,2023-03-31,,,12.0
Dream Builders Workshop - Women Speak,05 - The Barn,2023-03-13,Beeston and Holbeck,E05012647,17.0
Dream Builders Workshop - Women Speak ,05 - The Barn,2023-03-13,,,17.0
Dream Builders Workshop - Women's Activity Centre ,05 - The Barn,2023-04-26,,,8.0
Dream Builders Workshop - Womenzonecc ,05 - The Barn,2023-04-27,,,16.0
Dream Builders Workshops,05 - The Barn,2023-02-05,,,
Dream Builders Workshops ,05 - The Barn,2023-03-20,,,
Schools Day 1,05 - The Barn,2023-05-09,Headingley and Hyde Park,E05011397,180.0
Schools Day 2,05 - The Barn,2023-05-10,Headingley and Hyde Park,E05011397,184.0
Schools Day 3,05 - The Barn,2023-05-11,Headingley and Hyde Park,E05011397,110.0
Schools Day 4,05 - The Barn,2023-05-12,Headingley and Hyde Park,E05011397,183.0
Community Engagement Sessions,06 - National Retrospetive,,,,
David Oluwale's Leeds Walk & Talk,06 - National Retrospetive,2023-09-10,Hunslet and Riverside,E05011399,
Finding Voice,06 - National Retrospetive,2023-06-11,Hunslet and Riverside,E05011399,19.0
Poetry Performance ,06 - National Retrospetive,2023-07-09,Hunslet and Riverside,E05011399,50.0
The Nice Up ,06 - National Retrospetive,2023-08-20,Hunslet and Riverside,E05011399,250.0
The Nice Up Youth Workshops,06 - National Retrospetive,2023-08-02,Hunslet and Riverside,E05011399,
The Nice Up Youth Workshops Programme ,06 - National Retrospetive,2023-07-01,Hunslet and Riverside,E05011399,14.0
Delivery of Community Engagement programme,09 - Smeaton300: Moon Palace East Leeds Observatory,2023-03-01,,,
Delivery of Community Engagement programme - Ofrendas,11 - All That Lives,2022-10-01,,,
Adel & Wharfdale Grant Info Session 1 ,12 - My LEEDS 2023,2023-02-22,Weetwood,E05011413,1.0
Adel & Wharfdale Grant Info Session 2,12 - My LEEDS 2023,2023-02-14,Adel and Wharfedale,E05012841,5.0
Adel and Wharfdale Grant Info Session 1,12 - My LEEDS 2023,2023-02-20,Weetwood,E05011413,
Adel and Wharfdale Grant Info Session 2,12 - My LEEDS 2023,2023-02-22,Adel and Wharfedale,E05012841,
Alwoodley Grant Info Session 1,12 - My LEEDS 2023,2023-02-21,Alwoodley,E05012842,
Alwoodley Grant Info Session 2,12 - My LEEDS 2023,2023-02-21,Alwoodley,E05012842,
Animated Harehills,12 - My LEEDS 2023,2023-06-29,,,
Animated Harehills,12 - My LEEDS 2023,2023-07-27,,,
Animated Harehills,12 - My LEEDS 2023,2023-08-10,,,
Animated Harehills,12 - My LEEDS 2023,2023-08-24,,,
Animated Harehills,12 - My LEEDS 2023,2023-09-07,,,
Animated Harehills,12 - My LEEDS 2023,2023-09-21,,,
Ardsley & Robinhood Grant Info Session 1 ,12 - My LEEDS 2023,2023-02-13,Garforth and Swillington,E05013830,3.0
Ardsley & Robinhood Grant Info Session 2,12 - My LEEDS 2023,2023-02-20,,,1.0
Ardsley and Robin Hood Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Alwoodley,E05012842,
Armley Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Armley,E05011385,
Armley Grant Info Session 2,12 - My LEEDS 2023,2023-02-15,Armley,E05011385,
Armley Grant Info Session 3,12 - My LEEDS 2023,2023-02-17,Armley,E05011385,
"Beeston & Holbeck Grant Info Session 1,2 & 3 ",12 - My LEEDS 2023,,Beeston and Holbeck,E05012647,20.0
Bramley and Stanningley Grant Info Session 1,12 - My LEEDS 2023,2023-02-09,Bramley and Stanningley,E05011387,
Bramley and Stanningley Grant Info Session 2,12 - My LEEDS 2023,2023-02-21,Bramley and Stanningley,E05011387,
Burmantofts and Richmond Hill Grant Info Session 1,12 - My LEEDS 2023,2023-02-15,Burmantofts and Richmond Hill,E05011388,
Burmantofts and Richmond Hill Grant Info Session 2,12 - My LEEDS 2023,2023-02-16,Burmantofts and Richmond Hill,E05011388,
Calverley & Farsley Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Calverley and Farsley,E05011389,
Calverley & Farsley Grant Info Session 1 ,12 - My LEEDS 2023,2023-02-13,Calverley and Farsley,E05011389,6.0
Calverley & Farsley Grant Info Session 2,12 - My LEEDS 2023,2023-02-14,Calverley and Farsley,E05011389,
Calverley & Farsley Grant Info Session 2,12 - My LEEDS 2023,2023-02-14,Calverley and Farsley,E05011389,1.0
Civic Skateboarding,12 - My LEEDS 2023,2023-09-16,,,500.0
Community Grant Info Sessions,12 - My LEEDS 2023,,,,3.0
Community Grant's Scoring - Round 1,12 - My LEEDS 2023,2023-03-14,Hunslet and Riverside,E05011399,33.0
Community Grant's Scoring - Round 1,12 - My LEEDS 2023,2023-04-11,Hunslet and Riverside,E05011399,33.0
Community Grant's Scoring - Round 2,12 - My LEEDS 2023,2023-03-28,Hunslet and Riverside,E05011399,33.0
Crossgates and Whinmoor Grant Info Session 1,12 - My LEEDS 2023,2023-02-21,Cross Gates and Whinmoor,E05011391,
Farnley & Wortley Grant Info Session 1 ,12 - My LEEDS 2023,,Farnley and Wortley,E05012648,0.0
Farnley & Wortley Grant Info Session 1 ,12 - My LEEDS 2023,,Farnley and Wortley,E05012648,0.0
Farnley and Wortley Grant Info Session 1,12 - My LEEDS 2023,2023-02-16,Farnley and Wortley,E05012648,
Farnley and Wortley Grant Info Session 1,12 - My LEEDS 2023,2023-02-20,Armley,E05011385,
Garforth and Swillington Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Garforth and Swillington,E05013830,
Garforth and Swillington Grant Info Session 2,12 - My LEEDS 2023,2023-02-17,Garforth and Swillington,E05013830,
Gipton & Harehills Grant Info Session ,12 - My LEEDS 2023,2023-02-16,Gipton and Harehills,E05011394,7.0
Gipton and Harehills Grant Info Session 2,12 - My LEEDS 2023,2023-02-16,Gipton and Harehills,E05011394,
Guiseley and Rawdon Grant Info Session,12 - My LEEDS 2023,2023-02-16,Guiseley and Rawdon,E05011395,
Harewood Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Harewood,E05011396,
Harewood Grant Info Session 1 ,12 - My LEEDS 2023,2023-02-13,,,4.0
Harewood Grant Info Session 2,12 - My LEEDS 2023,2023-02-17,Harewood,E05011396,
Harewood Grant Info Session 2,12 - My LEEDS 2023,2023-02-17,,,4.0
Headingley & Hyde Park Grant Info Session 1,12 - My LEEDS 2023,2023-02-14,Headingley and Hyde Park,E05011397,10.0
Headingley & Hyde Park Grant Info Session 1,12 - My LEEDS 2023,2023-02-14,Headingley and Hyde Park,E05011397,3.0
Headingley and Hyde Park Grant Info Session 1,12 - My LEEDS 2023,2023-02-14,Headingley and Hyde Park,E05011397,
Headingley and Hyde Park Grant Info Session 2,12 - My LEEDS 2023,2023-02-20,Headingley and Hyde Park,E05011397,
Horsforth Grant Info Session 1,12 - My LEEDS 2023,2023-02-15,,,
Horsforth Grant Info Session 2,12 - My LEEDS 2023,2023-02-15,,,
Hunslet & Riverside Grant Info Session ,12 - My LEEDS 2023,2023-02-28,,,4.0
Killingbeck & Seacroft Grant Info Session 1 ,12 - My LEEDS 2023,,Killingbeck and Seacroft,E05011400,
Killingbeck & Seacroft Grant Info Session 2,12 - My LEEDS 2023,,Killingbeck and Seacroft,E05011400,
Killingbeck and Seacroft Grant Info Session 1,12 - My LEEDS 2023,2023-02-16,Killingbeck and Seacroft,E05011400,
Kippax and Methley Grant Info Session,12 - My LEEDS 2023,2023-02-15,,,
Kirkstall Grant Info Session,12 - My LEEDS 2023,2023-02-13,Kirkstall,E05011402,
Kirkstall Grant Info Session ,12 - My LEEDS 2023,2023-02-13,Kirkstall,E05011402,4.0
Leeds International African Festival,12 - My LEEDS 2023,2023-07-08,,,
Lincoln Greeners - Festival Closing,12 - My LEEDS 2023,2023-08-24,,,
Lincoln Greeners - Festival Opening,12 - My LEEDS 2023,2023-05-21,,,
Little London & Woodhouse Grant Info Session,12 - My LEEDS 2023,2023-02-22,,,15.0
Little London and Woodhouse Info Session,12 - My LEEDS 2023,2023-02-22,Headingley and Hyde Park,E05011397,
Middleton Park Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Middleton Park,E05011404,
Middleton Park Grant Info Session 2,12 - My LEEDS 2023,2023-02-22,Middleton Park,E05011404,
Moortown Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Moortown,E05011405,
Moortown Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Moortown,E05011405,1.0
Moortown Grant Info Session 2,12 - My LEEDS 2023,2023-02-13,Moortown,E05011405,1.0
Moortown Grant Info Session 2,12 - My LEEDS 2023,2023-02-16,Alwoodley,E05012842,
Morley North Grant Info Session 1,12 - My LEEDS 2023,2023-02-18,Morley North,E05011406,
Morley North Grant Info Session 2,12 - My LEEDS 2023,2023-02-20,Morley North,E05011406,
Morley South Grant Info Session,12 - My LEEDS 2023,2023-02-15,Morley South,E05011407,
Neighbourhood Host Recruitment ,12 - My LEEDS 2023,2022-08-31,Hunslet and Riverside,E05011399,25.0
Neighbourhood Host Recruitment ,12 - My LEEDS 2023,2022-09-01,Hunslet and Riverside,E05011399,25.0
Neighbourhood Host Recruitment ,12 - My LEEDS 2023,2022-09-05,Hunslet and Riverside,E05011399,25.0
Neighbourhood Host Training Sessions ,12 - My LEEDS 2023,2022-10-04,Hunslet and Riverside,E05011399,33.0
Roundhay Grant Info Session 1,12 - My LEEDS 2023,2023-02-13,Roundhay,E05011411,6.0
Roundhay Grant Info Session 2,12 - My LEEDS 2023,2023-02-16,Roundhay,E05011411,3.0
Stand and Be Counted Round Table,12 - My LEEDS 2023,2023-04-24,,,
The Gift: Pattern design workshops across wards,12 - My LEEDS 2023,2023-04-01,,,
The Ginnel,12 - My LEEDS 2023,2023-10-13,,,
The Path Between,12 - My LEEDS 2023,2023-10-14,,,
Volunteer Info Session ,12 - My LEEDS 2023,2023-05-31,,,
Leeds Book Awards Oracy Project: Ashfield Primary,Creative Learning S2,2023-07-05,,,7.0
Leeds Book Awards Oracy Project: Blenheim Primary,Creative Learning S2,2023-07-11,,,7.0
Leeds Book Awards Oracy Project: Cockburn John Charles Academy,Creative Learning S2,2023-07-14,,,7.0
Leeds Book Awards Oracy Project: Greenmount Primary,Creative Learning S2,2023-07-06,,,7.0
Leeds Book Awards Oracy Project: Moor Allerton Hall Primary,Creative Learning S2,2023-07-14,,,7.0
Leeds Book Awards Oracy Project: Pudsey Grammar School,Creative Learning S2,2023-07-03,,,7.0
Leeds Book Awards Shortlisting Party,Creative Learning S2,2023-05-18,Little London and Woodhouse,E05011403,
Leeds Children's Book Awards: Shortlisting Party,Creative Learning S2,2023-05-18,Little London and Woodhouse,E05011403,
Baby Week @ The Tetley,Creative Learning S3,2023-11-14,Hunslet and Riverside,E05011399,
 Community CPD Session - North West Workshop 1,General CLE,2023-09-06,Headingley and Hyde Park,E05011397,
 Community CPD Session - North West Workshop 2,General CLE,2023-09-26,Headingley and Hyde Park,E05011397,
 Community CPD Session - North West Workshop 3,General CLE,2023-10-10,Headingley and Hyde Park,E05011397,
 Community CPD Session - North West Workshop 4,General CLE,2023-11-14,Headingley and Hyde Park,E05011397,
 Community CPD Session - North Workshop 1,General CLE,2023-08-01,Headingley and Hyde Park,E05011397,8.0
 Community CPD Session - North Workshop 2,General CLE,2023-08-08,Headingley and Hyde Park,E05011397,5.0
 Community CPD Session - North Workshop 3,General CLE,2023-09-11,Headingley and Hyde Park,E05011397,
 Community CPD Session - North Workshop 4,General CLE,2023-10-17,Headingley and Hyde Park,E05011397,
 Community CPD Session - South West Workshop 1,General CLE,2023-07-20,Armley,E05011385,0.0
 Community CPD Session - South West Workshop 2,General CLE,2023-08-01,Armley,E05011385,0.0
 Community CPD Session - South West Workshop 3,General CLE,2023-08-22,Armley,E05011385,12.0
 Community CPD Session - South West Workshop 4,General CLE,2023-11-02,Armley,E05011385,
Community CPD Session - East Workshop 1 ,General CLE,2023-07-25,Burmantofts and Richmond Hill,E05011388,1.0
Community CPD Session - East Workshop 2,General CLE,2023-08-29,Burmantofts and Richmond Hill,E05011388,5.0
Community CPD Session - East Workshop 3,General CLE,2023-10-03,Burmantofts and Richmond Hill,E05011388,
Community CPD Session - East Workshop 4,General CLE,2023-10-09,Burmantofts and Richmond Hill,E05011388,
Community CPD Session - South Workshop 1,General CLE,2023-07-26,Hunslet and Riverside,E05011399,3.0
Community CPD Session - South Workshop 2,General CLE,2023-08-16,Hunslet and Riverside,E05011399,6.0
Community CPD Session - South Workshop 3,General CLE,2023-09-21,Hunslet and Riverside,E05011399,
Community CPD Session - South Workshop 4,General CLE,2023-10-25,Hunslet and Riverside,E05011399,
Lift the Lid: Community Hero Talks ,General CLE,,,,
VAL - Fundri,General CLE,,Armley,E05011385,
"""70 x 7: The Meal"": Harewood Big Picnic",Hidden Stories,2023-07-08,Harewood,E05011396,
Any Work That Wanted Doing: Drop-In Printing and Stitching,Hidden Stories,2023-09-09,Little London and Woodhouse,E05011403,
Any Work That Wanted Doing: Gill Crawshaw,Hidden Stories,2023-09-08,Armley,E05011385,
Culture Club,Hidden Stories,2023-09-08,,,
Ken Morris: Wigs and Costume Workshop,Hidden Stories,2023-09-16,Little London and Woodhouse,E05011403,
Lens Lab Exhibition,Hidden Stories,2023-09-16,,,
Meet Me At Cantors Evening Performance,Hidden Stories,2023-09-10,Chapel Allerton,E05011390,
Meet Me At Cantors Matinee Performance,Hidden Stories,2023-09-10,Chapel Allerton,E05011390,
Pablo Fanque’s Circus Games,Hidden Stories,2023-09-17,Little London and Woodhouse,E05011403,
Pablo Fanque’s Circus Games,Hidden Stories,2023-09-17,Little London and Woodhouse,E05011403,
Royal Armouries Exhibition,Hidden Stories,2023-09-07,,,
TBC British Library Collaboration,Hidden Stories,,,,
Try Your Hand at Ceramic Sculpture,Hidden Stories,2023-09-09,Little London and Woodhouse,E05011403,
Try Your Hand at Ceramic Sculpture,Hidden Stories,2023-09-10,Little London and Woodhouse,E05011403,
Try Your Hand at Ceramic Sculpture,Hidden Stories,2023-09-16,Little London and Woodhouse,E05011403,
Try Your Hand at Stone Carving,Hidden Stories,2023-09-09,Little London and Woodhouse,E05011403,
Try Your Hand at Stone Carving,Hidden Stories,2023-09-10,Little London and Woodhouse,E05011403,
Try Your Hand at Stone Carving,Hidden Stories,2023-09-16,Little London and Woodhouse,E05011403,
African and Caribbean Enterprise ,Leeds International African Arts Festival ,2023-07-08,Little London and Woodhouse,E05011403,
Step into Africa,Leeds International African Arts Festival ,2023-07-09,Horsforth,E05011547,
1st Wetherby Beavers/Clubs ,Waking the Artist,2023-03-29,Wetherby,E05011414,35.0
5th Horsforth Rainbows and 5th Horsforth Brownies ,Waking the Artist,2023-03-07,Horsforth,E05011547,21.0
Be More and Swarthmore Pack,Waking the Artist,2023-02-07,,,15.0
Calverley 2nd Brownies ,Waking the Artist,2023-04-03,Calverley and Farsley,E05011389,24.0
Community Pilot Session 1: Afghan Families in Hotels at Garforth,Waking the Artist,2023-01-13,Headingley and Hyde Park,E05011397,14.0
Connecting Crossgates ,Waking the Artist,2023-03-03,Cross Gates and Whinmoor,E05011391,10.0
Dolphin Manor ,Waking the Artist,2023-03-22,Rothwell,E05011410,10.0
Dolphin Manor Pack,Waking the Artist,2023-02-23,,,20.0
Feel Good Factor Eco Club ,Waking the Artist,2023-03-08,Chapel Allerton,E05011390,12.0
Friends of Cottingley Community Centre Pack Pack,Waking the Artist,2023-02-19,,,20.0
Friends of Sandringham Park Pack,Waking the Artist,2023-02-02,,,60.0
Heart to Art Pack,Waking the Artist,2023-02-15,,,12.0
Heartlines Writing Group Pack,Waking the Artist,2023-02-02,,,16.0
Holt park active day centre ,Waking the Artist,2023-03-16,Adel and Wharfedale,E05012841,10.0
Holy Name Scout Group ,Waking the Artist,2023-03-08,Weetwood,E05011413,40.0
HOPS ,Waking the Artist,2023-03-08,Kirkstall,E05011402,10.0
Horsforth Town of Sanctuary ,Waking the Artist,2023-02-27,Gipton and Harehills,E05011394,25.0
Hyde Park Girls' Brigade,Waking the Artist,2023-02-28,Little London and Woodhouse,E05011403,17.0
Knowle Manor ,Waking the Artist,2023-03-08,Morley South,E05011407,10.0
Knowle Manor Pack,Waking the Artist,2023-02-23,,,20.0
KVDT Pack,Waking the Artist,2023-01-27,,,30.0
Leeds Central Library Craft Group,Waking the Artist,2023-04-18,Little London and Woodhouse,E05011403,18.0
Leeds City Council - Community Hub & Library Healthy Holiday Programme (Chapel Allerton),Waking the Artist,2023-04-05,,,15.0
Leeds City Council - Community Hub & Library Healthy Holiday Programme (Gipton),Waking the Artist,2023-04-04,,,15.0
Leeds City Council - Community Hub & Library Healthy Holiday Programme (Hunslet) ,Waking the Artist,2023-04-06,,,15.0
LoveWorld Leeds Pack,Waking the Artist,2023-02-16,,,20.0
LS-TEN Skate Park ,Waking the Artist,2023-03-29,Hunslet and Riverside,E05011399,15.0
Mantric Roots Pack,Waking the Artist,2023-02-18,,,2.0
NCT antenatal group for women seeking asylum and refugees ,Waking the Artist,2023-02-21,Gipton and Harehills,E05011394,6.0
RecoveryHubEast,Waking the Artist,2023-02-16,Killingbeck and Seacroft,E05011400,6.0
Resettlement team bridging hotels ,Waking the Artist,2023-02-24,Wetherby,E05011414,10.0
Spring Gardens Pack,Waking the Artist,2023-03-23,,,8.0
The Den Headingley Pack,Waking the Artist,2023-02-13,,,25.0
Turning Lives Around Pack,Waking the Artist,2023-02-22,,,10.0
Welcome In Community Centre and OPAL,Waking the Artist,2023-02-22,Weetwood,E05011413,29.0
Wetherby Town Hall Pack,Waking the Artist,2023-02-25,,,250.0
Who Let The Dads Out Fulneck Moravian Church Pack,Waking the Artist,2023-02-22,,,12.0
Woodhouse Community Centre ,Waking the Artist,2023-03-09,Headingley and Hyde Park,E05011397,10.0
